Info positions : [0 1 2 3]
Target Info positions : [0 1 2 3]
Frozen positions : []
Code : polar 
Rate Profile : polar
Validation SNR : 5.5
Number of heads : 1
Number of layers: 6
Positional encoding : static
Layers : compelete
Print frequency: 20
Num of steps: 1000
Training Model for 4,4 anew
Number of parameters : 75725
Did not find standard validation data
Need to save for: 5000
[0/1000] At 5 dB, Loss: 1.0275506, Train BER (5 dB) : 0.4457397, Valid BER: 0.4978027, Tgt BER: 0.4978027, Noiseless BER 0.5000000, Valid BLER : 0.9361572
Time for one step is 0.0015 minutes
[20/1000] At 5 dB, Loss: 0.4975041, Train BER (5 dB) : 0.1670227, Valid BER: 0.4985962, Tgt BER: 0.4985962, Noiseless BER 0.2500000, Valid BLER : 0.9381104
[40/1000] At 5 dB, Loss: 0.3523872, Train BER (5 dB) : 0.1050110, Valid BER: 0.5037842, Tgt BER: 0.5037842, Noiseless BER 0.0000000, Valid BLER : 0.9395752
[60/1000] At 5 dB, Loss: 0.2863511, Train BER (5 dB) : 0.0775146, Valid BER: 0.4954529, Tgt BER: 0.4954529, Noiseless BER 0.0000000, Valid BLER : 0.9349365
[80/1000] At 5 dB, Loss: 0.2392475, Train BER (5 dB) : 0.0643921, Valid BER: 0.4977112, Tgt BER: 0.4977112, Noiseless BER 0.0000000, Valid BLER : 0.9372559
[100/1000] At 5 dB, Loss: 0.2602210, Train BER (5 dB) : 0.0704041, Valid BER: 0.5008545, Tgt BER: 0.5008545, Noiseless BER 0.0000000, Valid BLER : 0.9394531
[120/1000] At 5 dB, Loss: 0.2400926, Train BER (5 dB) : 0.0652771, Valid BER: 0.4996033, Tgt BER: 0.4996033, Noiseless BER 0.0000000, Valid BLER : 0.9370117
[140/1000] At 5 dB, Loss: 0.2384095, Train BER (5 dB) : 0.0643616, Valid BER: 0.5050049, Tgt BER: 0.5050049, Noiseless BER 0.0000000, Valid BLER : 0.9377441
[160/1000] At 5 dB, Loss: 0.2430922, Train BER (5 dB) : 0.0655823, Valid BER: 0.4998474, Tgt BER: 0.4998474, Noiseless BER 0.0000000, Valid BLER : 0.9364014
[180/1000] At 5 dB, Loss: 0.2549695, Train BER (5 dB) : 0.0693970, Valid BER: 0.5007629, Tgt BER: 0.5007629, Noiseless BER 0.0000000, Valid BLER : 0.9370117
[200/1000] At 5 dB, Loss: 0.2396310, Train BER (5 dB) : 0.0644226, Valid BER: 0.4998169, Tgt BER: 0.4998169, Noiseless BER 0.0000000, Valid BLER : 0.9367676
[220/1000] At 5 dB, Loss: 0.2326426, Train BER (5 dB) : 0.0628967, Valid BER: 0.4954834, Tgt BER: 0.4954834, Noiseless BER 0.0000000, Valid BLER : 0.9329834
[240/1000] At 5 dB, Loss: 0.2354347, Train BER (5 dB) : 0.0636292, Valid BER: 0.4994202, Tgt BER: 0.4994202, Noiseless BER 0.0000000, Valid BLER : 0.9392090
[260/1000] At 5 dB, Loss: 0.2244479, Train BER (5 dB) : 0.0607605, Valid BER: 0.5002747, Tgt BER: 0.5002747, Noiseless BER 0.0000000, Valid BLER : 0.9417725
[280/1000] At 5 dB, Loss: 0.2486501, Train BER (5 dB) : 0.0675659, Valid BER: 0.5026245, Tgt BER: 0.5026245, Noiseless BER 0.0000000, Valid BLER : 0.9357910
[300/1000] At 5 dB, Loss: 0.2412476, Train BER (5 dB) : 0.0655212, Valid BER: 0.5018616, Tgt BER: 0.5018616, Noiseless BER 0.0000000, Valid BLER : 0.9354248
[320/1000] At 5 dB, Loss: 0.2387287, Train BER (5 dB) : 0.0646057, Valid BER: 0.5018921, Tgt BER: 0.5018921, Noiseless BER 0.0000000, Valid BLER : 0.9382324
[340/1000] At 5 dB, Loss: 0.2305222, Train BER (5 dB) : 0.0624390, Valid BER: 0.5023804, Tgt BER: 0.5023804, Noiseless BER 0.0000000, Valid BLER : 0.9381104
[360/1000] At 5 dB, Loss: 0.2310367, Train BER (5 dB) : 0.0626526, Valid BER: 0.5037842, Tgt BER: 0.5037842, Noiseless BER 0.0000000, Valid BLER : 0.9389648
[380/1000] At 5 dB, Loss: 0.2467749, Train BER (5 dB) : 0.0665894, Valid BER: 0.5018311, Tgt BER: 0.5018311, Noiseless BER 0.0000000, Valid BLER : 0.9381104
[400/1000] At 5 dB, Loss: 0.2290092, Train BER (5 dB) : 0.0618286, Valid BER: 0.4953308, Tgt BER: 0.4953308, Noiseless BER 0.0000000, Valid BLER : 0.9359131
[420/1000] At 5 dB, Loss: 0.2369959, Train BER (5 dB) : 0.0641479, Valid BER: 0.5040894, Tgt BER: 0.5040894, Noiseless BER 0.0000000, Valid BLER : 0.9353027
[440/1000] At 5 dB, Loss: 0.2354952, Train BER (5 dB) : 0.0634766, Valid BER: 0.5027771, Tgt BER: 0.5027771, Noiseless BER 0.0000000, Valid BLER : 0.9343262
[460/1000] At 5 dB, Loss: 0.2532882, Train BER (5 dB) : 0.0688171, Valid BER: 0.5028076, Tgt BER: 0.5028076, Noiseless BER 0.0000000, Valid BLER : 0.9405518
[480/1000] At 5 dB, Loss: 0.2243801, Train BER (5 dB) : 0.0603943, Valid BER: 0.4973145, Tgt BER: 0.4973145, Noiseless BER 0.0000000, Valid BLER : 0.9342041
[500/1000] At 5 dB, Loss: 0.2457864, Train BER (5 dB) : 0.0667114, Valid BER: 0.4986267, Tgt BER: 0.4986267, Noiseless BER 0.0000000, Valid BLER : 0.9351807
[520/1000] At 5 dB, Loss: 0.2334227, Train BER (5 dB) : 0.0631409, Valid BER: 0.5046997, Tgt BER: 0.5046997, Noiseless BER 0.0000000, Valid BLER : 0.9381104
[540/1000] At 5 dB, Loss: 0.2344573, Train BER (5 dB) : 0.0635681, Valid BER: 0.5038757, Tgt BER: 0.5038757, Noiseless BER 0.0000000, Valid BLER : 0.9407959
[560/1000] At 5 dB, Loss: 0.2318754, Train BER (5 dB) : 0.0625610, Valid BER: 0.4957275, Tgt BER: 0.4957275, Noiseless BER 0.0000000, Valid BLER : 0.9327393
