Info positions : [0 1 2 3]
Target Info positions : [0 1 2 3]
Frozen positions : []
Code : polar 
Type of training : c2n
Rate Profile : polar
Validation SNR : 2.0
Training Model for 4,4 anew
Number of parameters : 75725
Did not find standard validation data
Need to save for: 5000
[0/10000] At 2 dB, Loss: 1.3826933, Train BER (2 dB) : 0.4492188, Valid BER: 0.4086914, Tgt BER: 0.4086914, Noiseless BER 0.3924255, Valid BLER : 0.8989258
Time for one step is 0.0022 minutes
[300/10000] At 2 dB, Loss: 0.5218906, Train BER (2 dB) : 0.1904907, Valid BER: 0.2010193, Tgt BER: 0.2010193, Noiseless BER 0.0000000, Valid BLER : 0.3760986
[600/10000] At 2 dB, Loss: 0.5241991, Train BER (2 dB) : 0.1963501, Valid BER: 0.1928406, Tgt BER: 0.1928406, Noiseless BER 0.0000000, Valid BLER : 0.3693848
[900/10000] At 2 dB, Loss: 0.5339633, Train BER (2 dB) : 0.1999817, Valid BER: 0.1980286, Tgt BER: 0.1980286, Noiseless BER 0.0000000, Valid BLER : 0.3679199
[1200/10000] At 2 dB, Loss: 0.5343853, Train BER (2 dB) : 0.1994629, Valid BER: 0.1963196, Tgt BER: 0.1963196, Noiseless BER 0.0000000, Valid BLER : 0.3671875
[1500/10000] At 2 dB, Loss: 0.5234878, Train BER (2 dB) : 0.1950684, Valid BER: 0.1959229, Tgt BER: 0.1959229, Noiseless BER 0.0000000, Valid BLER : 0.3696289
[1800/10000] At 2 dB, Loss: 0.5190350, Train BER (2 dB) : 0.1926880, Valid BER: 0.1972046, Tgt BER: 0.1972046, Noiseless BER 0.0000000, Valid BLER : 0.3642578
[2100/10000] At 2 dB, Loss: 0.5239282, Train BER (2 dB) : 0.1945496, Valid BER: 0.1947632, Tgt BER: 0.1947632, Noiseless BER 0.0000000, Valid BLER : 0.3612061
[2400/10000] At 2 dB, Loss: 0.5365684, Train BER (2 dB) : 0.2001343, Valid BER: 0.1954346, Tgt BER: 0.1954346, Noiseless BER 0.0000000, Valid BLER : 0.3638916
[2700/10000] At 2 dB, Loss: 0.5283608, Train BER (2 dB) : 0.1952820, Valid BER: 0.1930237, Tgt BER: 0.1930237, Noiseless BER 0.0000000, Valid BLER : 0.3618164
[3000/10000] At 2 dB, Loss: 0.5194689, Train BER (2 dB) : 0.1914368, Valid BER: 0.1956787, Tgt BER: 0.1956787, Noiseless BER 0.0000000, Valid BLER : 0.3626709
[3300/10000] At 2 dB, Loss: 0.5120733, Train BER (2 dB) : 0.1880493, Valid BER: 0.1938782, Tgt BER: 0.1938782, Noiseless BER 0.0000000, Valid BLER : 0.3637695
[3600/10000] At 2 dB, Loss: 0.5292546, Train BER (2 dB) : 0.1983337, Valid BER: 0.1994934, Tgt BER: 0.1994934, Noiseless BER 0.0000000, Valid BLER : 0.3688965
[3900/10000] At 2 dB, Loss: 0.5182425, Train BER (2 dB) : 0.1925049, Valid BER: 0.1925049, Tgt BER: 0.1925049, Noiseless BER 0.0000000, Valid BLER : 0.3552246
[4200/10000] At 2 dB, Loss: 0.5430216, Train BER (2 dB) : 0.2032471, Valid BER: 0.1910400, Tgt BER: 0.1910400, Noiseless BER 0.0000000, Valid BLER : 0.3563232
