Info positions : [3 5 6 7]
Target Info positions : [3 5 6 7]
Frozen positions : [0 1 2 4]
Code : polar 
embed dim : 8 
Rate Profile : polar
Batch size : 256
Validation SNR : 3.0
Number of heads : 1
Number of layers: 1
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 50000
8
Training Model for 4,8 anew
Number of parameters : 939
Did not find standard validation data
Need to save for: 500
[0/50000] At 3 dB, Loss: 1.4143960, Train BER (3 dB) : 0.5263672, Valid BER: 0.5078125, Tgt BER: 0.5078125, Noiseless BER 0.4941406, Valid BLER : 0.8554688
Time for one step is 0.0001 minutes
[100/50000] At 3 dB, Loss: 0.8461363, Train BER (3 dB) : 0.3613281, Valid BER: 0.3388672, Tgt BER: 0.3388672, Noiseless BER 0.3154297, Valid BLER : 0.8007812
[200/50000] At 3 dB, Loss: 0.7152717, Train BER (3 dB) : 0.2636719, Valid BER: 0.2382812, Tgt BER: 0.2382812, Noiseless BER 0.1572266, Valid BLER : 0.6054688
[300/50000] At 3 dB, Loss: 0.5769031, Train BER (3 dB) : 0.1914062, Valid BER: 0.1562500, Tgt BER: 0.1562500, Noiseless BER 0.0224609, Valid BLER : 0.3320312
[400/50000] At 3 dB, Loss: 0.6348010, Train BER (3 dB) : 0.2158203, Valid BER: 0.1230469, Tgt BER: 0.1230469, Noiseless BER 0.0000000, Valid BLER : 0.3007812
[500/50000] At 3 dB, Loss: 0.6555136, Train BER (3 dB) : 0.2304688, Valid BER: 0.1542969, Tgt BER: 0.1542969, Noiseless BER 0.0000000, Valid BLER : 0.2656250
[600/50000] At 3 dB, Loss: 0.6028733, Train BER (3 dB) : 0.2021484, Valid BER: 0.1220703, Tgt BER: 0.1220703, Noiseless BER 0.0000000, Valid BLER : 0.2656250
[700/50000] At 3 dB, Loss: 0.6039599, Train BER (3 dB) : 0.1923828, Valid BER: 0.1406250, Tgt BER: 0.1406250, Noiseless BER 0.0000000, Valid BLER : 0.3281250
[800/50000] At 3 dB, Loss: 0.5773869, Train BER (3 dB) : 0.2011719, Valid BER: 0.1406250, Tgt BER: 0.1406250, Noiseless BER 0.0000000, Valid BLER : 0.2773438
[900/50000] At 3 dB, Loss: 0.5561306, Train BER (3 dB) : 0.1855469, Valid BER: 0.1308594, Tgt BER: 0.1308594, Noiseless BER 0.0000000, Valid BLER : 0.2617188
[1000/50000] At 3 dB, Loss: 0.5949394, Train BER (3 dB) : 0.1914062, Valid BER: 0.1328125, Tgt BER: 0.1328125, Noiseless BER 0.0000000, Valid BLER : 0.2968750
[1100/50000] At 3 dB, Loss: 0.5646312, Train BER (3 dB) : 0.1894531, Valid BER: 0.1396484, Tgt BER: 0.1396484, Noiseless BER 0.0000000, Valid BLER : 0.3046875
[1200/50000] At 3 dB, Loss: 0.5889629, Train BER (3 dB) : 0.1943359, Valid BER: 0.1269531, Tgt BER: 0.1269531, Noiseless BER 0.0000000, Valid BLER : 0.2695312
[1300/50000] At 3 dB, Loss: 0.6378421, Train BER (3 dB) : 0.2148438, Valid BER: 0.1367188, Tgt BER: 0.1367188, Noiseless BER 0.0000000, Valid BLER : 0.2617188
[1400/50000] At 3 dB, Loss: 0.5134668, Train BER (3 dB) : 0.1679688, Valid BER: 0.1220703, Tgt BER: 0.1220703, Noiseless BER 0.0000000, Valid BLER : 0.2851562
[1500/50000] At 3 dB, Loss: 0.6066423, Train BER (3 dB) : 0.1992188, Valid BER: 0.1230469, Tgt BER: 0.1230469, Noiseless BER 0.0000000, Valid BLER : 0.3085938
[1600/50000] At 3 dB, Loss: 0.6299601, Train BER (3 dB) : 0.2109375, Valid BER: 0.1396484, Tgt BER: 0.1396484, Noiseless BER 0.0000000, Valid BLER : 0.2773438
[1700/50000] At 3 dB, Loss: 0.5689686, Train BER (3 dB) : 0.1884766, Valid BER: 0.1298828, Tgt BER: 0.1298828, Noiseless BER 0.0000000, Valid BLER : 0.2460938
[1800/50000] At 3 dB, Loss: 0.5061060, Train BER (3 dB) : 0.1660156, Valid BER: 0.1181641, Tgt BER: 0.1181641, Noiseless BER 0.0000000, Valid BLER : 0.2851562
[1900/50000] At 3 dB, Loss: 0.6005324, Train BER (3 dB) : 0.1992188, Valid BER: 0.1582031, Tgt BER: 0.1582031, Noiseless BER 0.0000000, Valid BLER : 0.3164062
[2000/50000] At 3 dB, Loss: 0.5606697, Train BER (3 dB) : 0.1884766, Valid BER: 0.1279297, Tgt BER: 0.1279297, Noiseless BER 0.0000000, Valid BLER : 0.2968750
[2100/50000] At 3 dB, Loss: 0.5631328, Train BER (3 dB) : 0.1884766, Valid BER: 0.1142578, Tgt BER: 0.1142578, Noiseless BER 0.0000000, Valid BLER : 0.2539062
[2200/50000] At 3 dB, Loss: 0.5542369, Train BER (3 dB) : 0.1845703, Valid BER: 0.1425781, Tgt BER: 0.1425781, Noiseless BER 0.0000000, Valid BLER : 0.3046875
[2300/50000] At 3 dB, Loss: 0.5712973, Train BER (3 dB) : 0.1953125, Valid BER: 0.1083984, Tgt BER: 0.1083984, Noiseless BER 0.0000000, Valid BLER : 0.3007812
[2400/50000] At 3 dB, Loss: 0.6072723, Train BER (3 dB) : 0.2080078, Valid BER: 0.1259766, Tgt BER: 0.1259766, Noiseless BER 0.0000000, Valid BLER : 0.2617188
[2500/50000] At 3 dB, Loss: 0.5778790, Train BER (3 dB) : 0.1933594, Valid BER: 0.1181641, Tgt BER: 0.1181641, Noiseless BER 0.0000000, Valid BLER : 0.2851562
[2600/50000] At 3 dB, Loss: 0.6181762, Train BER (3 dB) : 0.2080078, Valid BER: 0.1181641, Tgt BER: 0.1181641, Noiseless BER 0.0000000, Valid BLER : 0.2617188
[2700/50000] At 3 dB, Loss: 0.5389900, Train BER (3 dB) : 0.1777344, Valid BER: 0.1269531, Tgt BER: 0.1269531, Noiseless BER 0.0000000, Valid BLER : 0.2890625
[2800/50000] At 3 dB, Loss: 0.5478964, Train BER (3 dB) : 0.1787109, Valid BER: 0.1611328, Tgt BER: 0.1611328, Noiseless BER 0.0000000, Valid BLER : 0.3164062
[2900/50000] At 3 dB, Loss: 0.5974231, Train BER (3 dB) : 0.1982422, Valid BER: 0.1328125, Tgt BER: 0.1328125, Noiseless BER 0.0000000, Valid BLER : 0.2734375
[3000/50000] At 3 dB, Loss: 0.6061186, Train BER (3 dB) : 0.2011719, Valid BER: 0.1367188, Tgt BER: 0.1367188, Noiseless BER 0.0000000, Valid BLER : 0.2851562
[3100/50000] At 3 dB, Loss: 0.5133289, Train BER (3 dB) : 0.1679688, Valid BER: 0.1318359, Tgt BER: 0.1318359, Noiseless BER 0.0000000, Valid BLER : 0.2695312
[3200/50000] At 3 dB, Loss: 0.6561195, Train BER (3 dB) : 0.2158203, Valid BER: 0.1171875, Tgt BER: 0.1171875, Noiseless BER 0.0000000, Valid BLER : 0.2656250
