Info positions : [3 5 6 7]
Target Info positions : [3 5 6 7]
Frozen positions : [0 1 2 4]
Code : polar 
embed dim : 8 
Rate Profile : polar
Batch size : 128
Validation SNR : 2.0
Number of heads : 1
Number of layers: 1
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 50000
8
Training Model for 4,8 loaded at step 2000 from previous model 4,8
Number of parameters : 939
Did not find standard validation data
Need to save for: 500
[0/50000] At 2 dB, Loss: 0.6280265, Train BER (2 dB) : 0.2128906, Valid BER: 0.1738281, Tgt BER: 0.1738281, Noiseless BER 0.0000000, Valid BLER : 0.3750000
Time for one step is 0.0001 minutes
[100/50000] At 2 dB, Loss: 0.6863914, Train BER (2 dB) : 0.2382812, Valid BER: 0.1757812, Tgt BER: 0.1757812, Noiseless BER 0.0000000, Valid BLER : 0.4296875
[200/50000] At 2 dB, Loss: 0.6702678, Train BER (2 dB) : 0.2167969, Valid BER: 0.2148438, Tgt BER: 0.2148438, Noiseless BER 0.0000000, Valid BLER : 0.4062500
[300/50000] At 2 dB, Loss: 0.6736048, Train BER (2 dB) : 0.2363281, Valid BER: 0.1289062, Tgt BER: 0.1289062, Noiseless BER 0.0000000, Valid BLER : 0.2578125
[400/50000] At 2 dB, Loss: 0.6901447, Train BER (2 dB) : 0.2500000, Valid BER: 0.1367188, Tgt BER: 0.1367188, Noiseless BER 0.0000000, Valid BLER : 0.2968750
[500/50000] At 2 dB, Loss: 0.5841605, Train BER (2 dB) : 0.1992188, Valid BER: 0.1230469, Tgt BER: 0.1230469, Noiseless BER 0.0000000, Valid BLER : 0.2500000
[600/50000] At 2 dB, Loss: 0.5526375, Train BER (2 dB) : 0.1835938, Valid BER: 0.1542969, Tgt BER: 0.1542969, Noiseless BER 0.0000000, Valid BLER : 0.3359375
[700/50000] At 2 dB, Loss: 0.6300453, Train BER (2 dB) : 0.2246094, Valid BER: 0.1601562, Tgt BER: 0.1601562, Noiseless BER 0.0000000, Valid BLER : 0.3593750
[800/50000] At 2 dB, Loss: 0.6797497, Train BER (2 dB) : 0.2421875, Valid BER: 0.1347656, Tgt BER: 0.1347656, Noiseless BER 0.0000000, Valid BLER : 0.3125000
[900/50000] At 2 dB, Loss: 0.6603749, Train BER (2 dB) : 0.2343750, Valid BER: 0.1699219, Tgt BER: 0.1699219, Noiseless BER 0.0000000, Valid BLER : 0.3750000
[1000/50000] At 2 dB, Loss: 0.6407471, Train BER (2 dB) : 0.2265625, Valid BER: 0.1582031, Tgt BER: 0.1582031, Noiseless BER 0.0000000, Valid BLER : 0.3593750
[1100/50000] At 2 dB, Loss: 0.6134001, Train BER (2 dB) : 0.2187500, Valid BER: 0.1562500, Tgt BER: 0.1562500, Noiseless BER 0.0000000, Valid BLER : 0.3281250
[1200/50000] At 2 dB, Loss: 0.6452232, Train BER (2 dB) : 0.2207031, Valid BER: 0.1132812, Tgt BER: 0.1132812, Noiseless BER 0.0000000, Valid BLER : 0.2656250
[1300/50000] At 2 dB, Loss: 0.6002043, Train BER (2 dB) : 0.2128906, Valid BER: 0.1210938, Tgt BER: 0.1210938, Noiseless BER 0.0000000, Valid BLER : 0.3125000
[1400/50000] At 2 dB, Loss: 0.6399553, Train BER (2 dB) : 0.2324219, Valid BER: 0.1679688, Tgt BER: 0.1679688, Noiseless BER 0.0000000, Valid BLER : 0.4140625
[1500/50000] At 2 dB, Loss: 0.5918533, Train BER (2 dB) : 0.2070312, Valid BER: 0.1835938, Tgt BER: 0.1835938, Noiseless BER 0.0000000, Valid BLER : 0.3593750
[1600/50000] At 2 dB, Loss: 0.6322808, Train BER (2 dB) : 0.2226562, Valid BER: 0.1406250, Tgt BER: 0.1406250, Noiseless BER 0.0000000, Valid BLER : 0.3515625
[1700/50000] At 2 dB, Loss: 0.6459171, Train BER (2 dB) : 0.2304688, Valid BER: 0.1875000, Tgt BER: 0.1875000, Noiseless BER 0.0000000, Valid BLER : 0.3671875
[1800/50000] At 2 dB, Loss: 0.6686069, Train BER (2 dB) : 0.2402344, Valid BER: 0.1738281, Tgt BER: 0.1738281, Noiseless BER 0.0000000, Valid BLER : 0.3515625
[1900/50000] At 2 dB, Loss: 0.6361349, Train BER (2 dB) : 0.2109375, Valid BER: 0.1796875, Tgt BER: 0.1796875, Noiseless BER 0.0000000, Valid BLER : 0.3593750
[2000/50000] At 2 dB, Loss: 0.5755774, Train BER (2 dB) : 0.1796875, Valid BER: 0.1445312, Tgt BER: 0.1445312, Noiseless BER 0.0000000, Valid BLER : 0.3125000
[2100/50000] At 2 dB, Loss: 0.5425376, Train BER (2 dB) : 0.1933594, Valid BER: 0.1582031, Tgt BER: 0.1582031, Noiseless BER 0.0000000, Valid BLER : 0.3671875
[2200/50000] At 2 dB, Loss: 0.7009822, Train BER (2 dB) : 0.2500000, Valid BER: 0.1074219, Tgt BER: 0.1074219, Noiseless BER 0.0000000, Valid BLER : 0.2578125
[2300/50000] At 2 dB, Loss: 0.5832884, Train BER (2 dB) : 0.1953125, Valid BER: 0.1347656, Tgt BER: 0.1347656, Noiseless BER 0.0000000, Valid BLER : 0.2812500
[2400/50000] At 2 dB, Loss: 0.5796910, Train BER (2 dB) : 0.1816406, Valid BER: 0.1308594, Tgt BER: 0.1308594, Noiseless BER 0.0000000, Valid BLER : 0.3046875
[2500/50000] At 2 dB, Loss: 0.5827532, Train BER (2 dB) : 0.1894531, Valid BER: 0.0839844, Tgt BER: 0.0839844, Noiseless BER 0.0000000, Valid BLER : 0.2265625
[2600/50000] At 2 dB, Loss: 0.6759724, Train BER (2 dB) : 0.2519531, Valid BER: 0.1562500, Tgt BER: 0.1562500, Noiseless BER 0.0000000, Valid BLER : 0.2890625
[2700/50000] At 2 dB, Loss: 0.5680271, Train BER (2 dB) : 0.1933594, Valid BER: 0.1445312, Tgt BER: 0.1445312, Noiseless BER 0.0000000, Valid BLER : 0.3125000
[2800/50000] At 2 dB, Loss: 0.6239091, Train BER (2 dB) : 0.2187500, Valid BER: 0.1621094, Tgt BER: 0.1621094, Noiseless BER 0.0000000, Valid BLER : 0.3671875
[2900/50000] At 2 dB, Loss: 0.6161763, Train BER (2 dB) : 0.2070312, Valid BER: 0.1230469, Tgt BER: 0.1230469, Noiseless BER 0.0000000, Valid BLER : 0.2812500
[3000/50000] At 2 dB, Loss: 0.6357867, Train BER (2 dB) : 0.2265625, Valid BER: 0.1425781, Tgt BER: 0.1425781, Noiseless BER 0.0000000, Valid BLER : 0.2890625
[3100/50000] At 2 dB, Loss: 0.6172652, Train BER (2 dB) : 0.2089844, Valid BER: 0.1093750, Tgt BER: 0.1093750, Noiseless BER 0.0000000, Valid BLER : 0.2656250
[3200/50000] At 2 dB, Loss: 0.6082340, Train BER (2 dB) : 0.2167969, Valid BER: 0.1152344, Tgt BER: 0.1152344, Noiseless BER 0.0000000, Valid BLER : 0.2812500
[3300/50000] At 2 dB, Loss: 0.5262864, Train BER (2 dB) : 0.1660156, Valid BER: 0.1621094, Tgt BER: 0.1621094, Noiseless BER 0.0000000, Valid BLER : 0.3203125
[3400/50000] At 2 dB, Loss: 0.5232978, Train BER (2 dB) : 0.1757812, Valid BER: 0.1835938, Tgt BER: 0.1835938, Noiseless BER 0.0000000, Valid BLER : 0.3828125
[3500/50000] At 2 dB, Loss: 0.5797868, Train BER (2 dB) : 0.2070312, Valid BER: 0.1093750, Tgt BER: 0.1093750, Noiseless BER 0.0000000, Valid BLER : 0.2968750
[3600/50000] At 2 dB, Loss: 0.5514715, Train BER (2 dB) : 0.1757812, Valid BER: 0.1250000, Tgt BER: 0.1250000, Noiseless BER 0.0000000, Valid BLER : 0.2421875
[3700/50000] At 2 dB, Loss: 0.5800627, Train BER (2 dB) : 0.2031250, Valid BER: 0.1699219, Tgt BER: 0.1699219, Noiseless BER 0.0000000, Valid BLER : 0.3593750
[3800/50000] At 2 dB, Loss: 0.5858197, Train BER (2 dB) : 0.2148438, Valid BER: 0.1406250, Tgt BER: 0.1406250, Noiseless BER 0.0000000, Valid BLER : 0.3359375
[3900/50000] At 2 dB, Loss: 0.6380179, Train BER (2 dB) : 0.2324219, Valid BER: 0.1523438, Tgt BER: 0.1523438, Noiseless BER 0.0000000, Valid BLER : 0.3281250
[4000/50000] At 2 dB, Loss: 0.5669957, Train BER (2 dB) : 0.1933594, Valid BER: 0.1562500, Tgt BER: 0.1562500, Noiseless BER 0.0000000, Valid BLER : 0.3203125
[4100/50000] At 2 dB, Loss: 0.5330745, Train BER (2 dB) : 0.1875000, Valid BER: 0.1230469, Tgt BER: 0.1230469, Noiseless BER 0.0000000, Valid BLER : 0.2500000
[4200/50000] At 2 dB, Loss: 0.5519579, Train BER (2 dB) : 0.1777344, Valid BER: 0.1367188, Tgt BER: 0.1367188, Noiseless BER 0.0000000, Valid BLER : 0.3593750
[4300/50000] At 2 dB, Loss: 0.6729695, Train BER (2 dB) : 0.2285156, Valid BER: 0.1250000, Tgt BER: 0.1250000, Noiseless BER 0.0000000, Valid BLER : 0.3359375
[4400/50000] At 2 dB, Loss: 0.5381317, Train BER (2 dB) : 0.1835938, Valid BER: 0.1503906, Tgt BER: 0.1503906, Noiseless BER 0.0000000, Valid BLER : 0.3359375
[4500/50000] At 2 dB, Loss: 0.6264268, Train BER (2 dB) : 0.2304688, Valid BER: 0.1582031, Tgt BER: 0.1582031, Noiseless BER 0.0000000, Valid BLER : 0.3125000
[4600/50000] At 2 dB, Loss: 0.5888245, Train BER (2 dB) : 0.2109375, Valid BER: 0.1230469, Tgt BER: 0.1230469, Noiseless BER 0.0000000, Valid BLER : 0.3125000
[4700/50000] At 2 dB, Loss: 0.6510734, Train BER (2 dB) : 0.2402344, Valid BER: 0.1621094, Tgt BER: 0.1621094, Noiseless BER 0.0000000, Valid BLER : 0.3593750
[4800/50000] At 2 dB, Loss: 0.7088311, Train BER (2 dB) : 0.2519531, Valid BER: 0.1542969, Tgt BER: 0.1542969, Noiseless BER 0.0000000, Valid BLER : 0.3359375
[4900/50000] At 2 dB, Loss: 0.6050195, Train BER (2 dB) : 0.1992188, Valid BER: 0.1523438, Tgt BER: 0.1523438, Noiseless BER 0.0000000, Valid BLER : 0.3281250
[5000/50000] At 2 dB, Loss: 0.6281173, Train BER (2 dB) : 0.2128906, Valid BER: 0.1367188, Tgt BER: 0.1367188, Noiseless BER 0.0000000, Valid BLER : 0.2734375
[5100/50000] At 2 dB, Loss: 0.5574047, Train BER (2 dB) : 0.1855469, Valid BER: 0.1250000, Tgt BER: 0.1250000, Noiseless BER 0.0000000, Valid BLER : 0.3203125
[5200/50000] At 2 dB, Loss: 0.4801429, Train BER (2 dB) : 0.1660156, Valid BER: 0.1308594, Tgt BER: 0.1308594, Noiseless BER 0.0000000, Valid BLER : 0.3437500
[5300/50000] At 2 dB, Loss: 0.5061116, Train BER (2 dB) : 0.1679688, Valid BER: 0.1542969, Tgt BER: 0.1542969, Noiseless BER 0.0000000, Valid BLER : 0.2968750
[5400/50000] At 2 dB, Loss: 0.6746203, Train BER (2 dB) : 0.2246094, Valid BER: 0.1679688, Tgt BER: 0.1679688, Noiseless BER 0.0000000, Valid BLER : 0.3359375
[5500/50000] At 2 dB, Loss: 0.5016466, Train BER (2 dB) : 0.1777344, Valid BER: 0.1875000, Tgt BER: 0.1875000, Noiseless BER 0.0000000, Valid BLER : 0.3984375
[5600/50000] At 2 dB, Loss: 0.4730929, Train BER (2 dB) : 0.1582031, Valid BER: 0.1464844, Tgt BER: 0.1464844, Noiseless BER 0.0000000, Valid BLER : 0.2968750
[5700/50000] At 2 dB, Loss: 0.5841553, Train BER (2 dB) : 0.1953125, Valid BER: 0.1484375, Tgt BER: 0.1484375, Noiseless BER 0.0000000, Valid BLER : 0.3437500
[5800/50000] At 2 dB, Loss: 0.6472224, Train BER (2 dB) : 0.2167969, Valid BER: 0.1523438, Tgt BER: 0.1523438, Noiseless BER 0.0000000, Valid BLER : 0.3281250
[5900/50000] At 2 dB, Loss: 0.4925249, Train BER (2 dB) : 0.1621094, Valid BER: 0.1542969, Tgt BER: 0.1542969, Noiseless BER 0.0000000, Valid BLER : 0.3515625
[6000/50000] At 2 dB, Loss: 0.5671348, Train BER (2 dB) : 0.1757812, Valid BER: 0.1679688, Tgt BER: 0.1679688, Noiseless BER 0.0000000, Valid BLER : 0.3671875
[6100/50000] At 2 dB, Loss: 0.4513090, Train BER (2 dB) : 0.1347656, Valid BER: 0.1171875, Tgt BER: 0.1171875, Noiseless BER 0.0000000, Valid BLER : 0.2890625
[6200/50000] At 2 dB, Loss: 0.5742972, Train BER (2 dB) : 0.1953125, Valid BER: 0.1503906, Tgt BER: 0.1503906, Noiseless BER 0.0000000, Valid BLER : 0.3593750
[6300/50000] At 2 dB, Loss: 0.5776336, Train BER (2 dB) : 0.2148438, Valid BER: 0.1230469, Tgt BER: 0.1230469, Noiseless BER 0.0000000, Valid BLER : 0.2578125
[6400/50000] At 2 dB, Loss: 0.6732414, Train BER (2 dB) : 0.2519531, Valid BER: 0.1933594, Tgt BER: 0.1933594, Noiseless BER 0.0000000, Valid BLER : 0.4062500
[6500/50000] At 2 dB, Loss: 0.6484277, Train BER (2 dB) : 0.2207031, Valid BER: 0.1269531, Tgt BER: 0.1269531, Noiseless BER 0.0000000, Valid BLER : 0.2968750
[6600/50000] At 2 dB, Loss: 0.5654151, Train BER (2 dB) : 0.1894531, Valid BER: 0.1406250, Tgt BER: 0.1406250, Noiseless BER 0.0000000, Valid BLER : 0.3515625
[6700/50000] At 2 dB, Loss: 0.6529515, Train BER (2 dB) : 0.2226562, Valid BER: 0.1601562, Tgt BER: 0.1601562, Noiseless BER 0.0000000, Valid BLER : 0.3593750
[6800/50000] At 2 dB, Loss: 0.5579628, Train BER (2 dB) : 0.1894531, Valid BER: 0.1757812, Tgt BER: 0.1757812, Noiseless BER 0.0000000, Valid BLER : 0.3359375
[6900/50000] At 2 dB, Loss: 0.5865225, Train BER (2 dB) : 0.1933594, Valid BER: 0.1738281, Tgt BER: 0.1738281, Noiseless BER 0.0000000, Valid BLER : 0.3906250
[7000/50000] At 2 dB, Loss: 0.5519310, Train BER (2 dB) : 0.1953125, Valid BER: 0.1230469, Tgt BER: 0.1230469, Noiseless BER 0.0000000, Valid BLER : 0.2968750
[7100/50000] At 2 dB, Loss: 0.5448581, Train BER (2 dB) : 0.1835938, Valid BER: 0.1250000, Tgt BER: 0.1250000, Noiseless BER 0.0000000, Valid BLER : 0.3046875
[7200/50000] At 2 dB, Loss: 0.6190495, Train BER (2 dB) : 0.2207031, Valid BER: 0.1523438, Tgt BER: 0.1523438, Noiseless BER 0.0000000, Valid BLER : 0.3281250
[7300/50000] At 2 dB, Loss: 0.6066931, Train BER (2 dB) : 0.2207031, Valid BER: 0.1816406, Tgt BER: 0.1816406, Noiseless BER 0.0000000, Valid BLER : 0.4453125
[7400/50000] At 2 dB, Loss: 0.6190278, Train BER (2 dB) : 0.2148438, Valid BER: 0.1542969, Tgt BER: 0.1542969, Noiseless BER 0.0000000, Valid BLER : 0.3437500
[7500/50000] At 2 dB, Loss: 0.5944260, Train BER (2 dB) : 0.2128906, Valid BER: 0.1425781, Tgt BER: 0.1425781, Noiseless BER 0.0000000, Valid BLER : 0.3359375
[7600/50000] At 2 dB, Loss: 0.5995244, Train BER (2 dB) : 0.2207031, Valid BER: 0.1074219, Tgt BER: 0.1074219, Noiseless BER 0.0000000, Valid BLER : 0.2500000
[7700/50000] At 2 dB, Loss: 0.5327740, Train BER (2 dB) : 0.1777344, Valid BER: 0.1093750, Tgt BER: 0.1093750, Noiseless BER 0.0000000, Valid BLER : 0.2578125
[7800/50000] At 2 dB, Loss: 0.5787680, Train BER (2 dB) : 0.2050781, Valid BER: 0.1503906, Tgt BER: 0.1503906, Noiseless BER 0.0000000, Valid BLER : 0.3828125
[7900/50000] At 2 dB, Loss: 0.5080668, Train BER (2 dB) : 0.1738281, Valid BER: 0.0976562, Tgt BER: 0.0976562, Noiseless BER 0.0000000, Valid BLER : 0.2656250
[8000/50000] At 2 dB, Loss: 0.5518688, Train BER (2 dB) : 0.1718750, Valid BER: 0.1406250, Tgt BER: 0.1406250, Noiseless BER 0.0000000, Valid BLER : 0.2500000
[8100/50000] At 2 dB, Loss: 0.6481408, Train BER (2 dB) : 0.2285156, Valid BER: 0.1503906, Tgt BER: 0.1503906, Noiseless BER 0.0000000, Valid BLER : 0.3750000
[8200/50000] At 2 dB, Loss: 0.5757452, Train BER (2 dB) : 0.2011719, Valid BER: 0.1601562, Tgt BER: 0.1601562, Noiseless BER 0.0000000, Valid BLER : 0.3750000
[8300/50000] At 2 dB, Loss: 0.6447529, Train BER (2 dB) : 0.2324219, Valid BER: 0.1406250, Tgt BER: 0.1406250, Noiseless BER 0.0000000, Valid BLER : 0.3828125
[8400/50000] At 2 dB, Loss: 0.6170799, Train BER (2 dB) : 0.2089844, Valid BER: 0.1582031, Tgt BER: 0.1582031, Noiseless BER 0.0000000, Valid BLER : 0.3515625
[8500/50000] At 2 dB, Loss: 0.5878050, Train BER (2 dB) : 0.2011719, Valid BER: 0.1738281, Tgt BER: 0.1738281, Noiseless BER 0.0000000, Valid BLER : 0.3750000
[8600/50000] At 2 dB, Loss: 0.5374075, Train BER (2 dB) : 0.1835938, Valid BER: 0.1191406, Tgt BER: 0.1191406, Noiseless BER 0.0000000, Valid BLER : 0.2734375
[8700/50000] At 2 dB, Loss: 0.5892023, Train BER (2 dB) : 0.2109375, Valid BER: 0.1328125, Tgt BER: 0.1328125, Noiseless BER 0.0000000, Valid BLER : 0.2968750
[8800/50000] At 2 dB, Loss: 0.6272843, Train BER (2 dB) : 0.2031250, Valid BER: 0.1640625, Tgt BER: 0.1640625, Noiseless BER 0.0000000, Valid BLER : 0.3515625
[8900/50000] At 2 dB, Loss: 0.5749170, Train BER (2 dB) : 0.1894531, Valid BER: 0.1542969, Tgt BER: 0.1542969, Noiseless BER 0.0000000, Valid BLER : 0.3437500
[9000/50000] At 2 dB, Loss: 0.5893252, Train BER (2 dB) : 0.2089844, Valid BER: 0.1621094, Tgt BER: 0.1621094, Noiseless BER 0.0000000, Valid BLER : 0.3671875
[9100/50000] At 2 dB, Loss: 0.5703313, Train BER (2 dB) : 0.1992188, Valid BER: 0.1328125, Tgt BER: 0.1328125, Noiseless BER 0.0000000, Valid BLER : 0.3125000
[9200/50000] At 2 dB, Loss: 0.6339419, Train BER (2 dB) : 0.2187500, Valid BER: 0.1464844, Tgt BER: 0.1464844, Noiseless BER 0.0000000, Valid BLER : 0.3203125
[9300/50000] At 2 dB, Loss: 0.6082330, Train BER (2 dB) : 0.2148438, Valid BER: 0.1523438, Tgt BER: 0.1523438, Noiseless BER 0.0000000, Valid BLER : 0.3671875
[9400/50000] At 2 dB, Loss: 0.6047912, Train BER (2 dB) : 0.2050781, Valid BER: 0.2031250, Tgt BER: 0.2031250, Noiseless BER 0.0000000, Valid BLER : 0.4531250
[9500/50000] At 2 dB, Loss: 0.5068585, Train BER (2 dB) : 0.1601562, Valid BER: 0.1425781, Tgt BER: 0.1425781, Noiseless BER 0.0000000, Valid BLER : 0.3359375
[9600/50000] At 2 dB, Loss: 0.5430880, Train BER (2 dB) : 0.1875000, Valid BER: 0.1347656, Tgt BER: 0.1347656, Noiseless BER 0.0000000, Valid BLER : 0.3437500
[9700/50000] At 2 dB, Loss: 0.5757568, Train BER (2 dB) : 0.2031250, Valid BER: 0.1894531, Tgt BER: 0.1894531, Noiseless BER 0.0000000, Valid BLER : 0.3828125
[9800/50000] At 2 dB, Loss: 0.6497852, Train BER (2 dB) : 0.2304688, Valid BER: 0.1464844, Tgt BER: 0.1464844, Noiseless BER 0.0000000, Valid BLER : 0.3593750
[9900/50000] At 2 dB, Loss: 0.5374340, Train BER (2 dB) : 0.1835938, Valid BER: 0.1523438, Tgt BER: 0.1523438, Noiseless BER 0.0000000, Valid BLER : 0.3593750
[10000/50000] At 2 dB, Loss: 0.5100365, Train BER (2 dB) : 0.1718750, Valid BER: 0.1054688, Tgt BER: 0.1054688, Noiseless BER 0.0000000, Valid BLER : 0.2734375
[10100/50000] At 2 dB, Loss: 0.5466405, Train BER (2 dB) : 0.1914062, Valid BER: 0.1523438, Tgt BER: 0.1523438, Noiseless BER 0.0000000, Valid BLER : 0.3515625
[10200/50000] At 2 dB, Loss: 0.4940802, Train BER (2 dB) : 0.1582031, Valid BER: 0.1562500, Tgt BER: 0.1562500, Noiseless BER 0.0000000, Valid BLER : 0.3593750
[10300/50000] At 2 dB, Loss: 0.5868008, Train BER (2 dB) : 0.2070312, Valid BER: 0.1582031, Tgt BER: 0.1582031, Noiseless BER 0.0000000, Valid BLER : 0.3828125
[10400/50000] At 2 dB, Loss: 0.5317187, Train BER (2 dB) : 0.1835938, Valid BER: 0.1269531, Tgt BER: 0.1269531, Noiseless BER 0.0000000, Valid BLER : 0.2656250
