Info positions : [3 5 6 7]
Target Info positions : [3 5 6 7]
Frozen positions : [0 1 2 4]
Code : polar 
Rate Profile : polar
Batch size : 8192
Validation SNR : 3.0
Number of heads : 1
Number of layers: 2
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 100000
8
Training Model for 4,8 anew
Number of parameters : 1781
Did not find standard validation data
Need to save for: 5000
[0/100000] At 3 dB, Loss: 1.4184008, Train BER (3 dB) : 0.5200806, Valid BER: 0.5095215, Tgt BER: 0.5095215, Noiseless BER 0.5000000, Valid BLER : 0.9974365
Time for one step is 0.0010 minutes
[100/100000] At 3 dB, Loss: 0.7685523, Train BER (3 dB) : 0.3142395, Valid BER: 0.2822571, Tgt BER: 0.2822571, Noiseless BER 0.2295532, Valid BLER : 0.6549072
[200/100000] At 3 dB, Loss: 0.5264801, Train BER (3 dB) : 0.1626587, Valid BER: 0.1277161, Tgt BER: 0.1277161, Noiseless BER 0.0000000, Valid BLER : 0.2778320
[300/100000] At 3 dB, Loss: 0.5060169, Train BER (3 dB) : 0.1564941, Valid BER: 0.1260071, Tgt BER: 0.1260071, Noiseless BER 0.0000000, Valid BLER : 0.2736816
[400/100000] At 3 dB, Loss: 0.4736856, Train BER (3 dB) : 0.1475525, Valid BER: 0.1216736, Tgt BER: 0.1216736, Noiseless BER 0.0000000, Valid BLER : 0.2637939
[500/100000] At 3 dB, Loss: 0.4592668, Train BER (3 dB) : 0.1435852, Valid BER: 0.1129761, Tgt BER: 0.1129761, Noiseless BER 0.0000000, Valid BLER : 0.2536621
[600/100000] At 3 dB, Loss: 0.4419306, Train BER (3 dB) : 0.1389160, Valid BER: 0.1195068, Tgt BER: 0.1195068, Noiseless BER 0.0000000, Valid BLER : 0.2655029
[700/100000] At 3 dB, Loss: 0.4158438, Train BER (3 dB) : 0.1316223, Valid BER: 0.1170654, Tgt BER: 0.1170654, Noiseless BER 0.0000000, Valid BLER : 0.2624512
[800/100000] At 3 dB, Loss: 0.4106215, Train BER (3 dB) : 0.1295471, Valid BER: 0.1113892, Tgt BER: 0.1113892, Noiseless BER 0.0000000, Valid BLER : 0.2471924
[900/100000] At 3 dB, Loss: 0.4078533, Train BER (3 dB) : 0.1306152, Valid BER: 0.1139221, Tgt BER: 0.1139221, Noiseless BER 0.0000000, Valid BLER : 0.2574463
[1000/100000] At 3 dB, Loss: 0.4002025, Train BER (3 dB) : 0.1284790, Valid BER: 0.1093140, Tgt BER: 0.1093140, Noiseless BER 0.0000000, Valid BLER : 0.2478027
[1100/100000] At 3 dB, Loss: 0.3821642, Train BER (3 dB) : 0.1231995, Valid BER: 0.1123047, Tgt BER: 0.1123047, Noiseless BER 0.0000000, Valid BLER : 0.2509766
[1200/100000] At 3 dB, Loss: 0.3816402, Train BER (3 dB) : 0.1247864, Valid BER: 0.1075134, Tgt BER: 0.1075134, Noiseless BER 0.0000000, Valid BLER : 0.2519531
[1300/100000] At 3 dB, Loss: 0.3631403, Train BER (3 dB) : 0.1171570, Valid BER: 0.1049805, Tgt BER: 0.1049805, Noiseless BER 0.0000000, Valid BLER : 0.2523193
[1400/100000] At 3 dB, Loss: 0.3716362, Train BER (3 dB) : 0.1227722, Valid BER: 0.1059570, Tgt BER: 0.1059570, Noiseless BER 0.0000000, Valid BLER : 0.2534180
[1500/100000] At 3 dB, Loss: 0.3719852, Train BER (3 dB) : 0.1228943, Valid BER: 0.1041565, Tgt BER: 0.1041565, Noiseless BER 0.0000000, Valid BLER : 0.2500000
[1600/100000] At 3 dB, Loss: 0.3617781, Train BER (3 dB) : 0.1175537, Valid BER: 0.1082458, Tgt BER: 0.1082458, Noiseless BER 0.0000000, Valid BLER : 0.2524414
[1700/100000] At 3 dB, Loss: 0.3684156, Train BER (3 dB) : 0.1212463, Valid BER: 0.1090088, Tgt BER: 0.1090088, Noiseless BER 0.0000000, Valid BLER : 0.2589111
[1800/100000] At 3 dB, Loss: 0.3594978, Train BER (3 dB) : 0.1184387, Valid BER: 0.0996399, Tgt BER: 0.0996399, Noiseless BER 0.0000000, Valid BLER : 0.2445068
[1900/100000] At 3 dB, Loss: 0.3616183, Train BER (3 dB) : 0.1206665, Valid BER: 0.1027222, Tgt BER: 0.1027222, Noiseless BER 0.0000000, Valid BLER : 0.2520752
[2000/100000] At 3 dB, Loss: 0.3584395, Train BER (3 dB) : 0.1196289, Valid BER: 0.1020203, Tgt BER: 0.1020203, Noiseless BER 0.0000000, Valid BLER : 0.2436523
[2100/100000] At 3 dB, Loss: 0.3473142, Train BER (3 dB) : 0.1169434, Valid BER: 0.1063538, Tgt BER: 0.1063538, Noiseless BER 0.0000000, Valid BLER : 0.2502441
[2200/100000] At 3 dB, Loss: 0.3492403, Train BER (3 dB) : 0.1158447, Valid BER: 0.1047363, Tgt BER: 0.1047363, Noiseless BER 0.0000000, Valid BLER : 0.2521973
[2300/100000] At 3 dB, Loss: 0.3511503, Train BER (3 dB) : 0.1171875, Valid BER: 0.1064148, Tgt BER: 0.1064148, Noiseless BER 0.0000000, Valid BLER : 0.2536621
[2400/100000] At 3 dB, Loss: 0.3380964, Train BER (3 dB) : 0.1122437, Valid BER: 0.1025085, Tgt BER: 0.1025085, Noiseless BER 0.0000000, Valid BLER : 0.2486572
