Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
Code : polar 
embed dim : 40 
Rate Profile : polar
Batch size : 8192
Validation SNR : 3.0
Number of heads : 1
Number of layers: 2
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 50000
40
Training Model for 8,16 anew
Number of parameters : 39925
Did not find standard validation data
Need to save for: 1000
[0/50000] At 3 dB, Loss: 1.8294725, Train BER (3 dB) : 0.5482635, Valid BER: 0.5163574, Tgt BER: 0.5163574, Noiseless BER 0.5170593, Valid BLER : 0.9992676
Time for one step is 0.0018 minutes
[100/50000] At 3 dB, Loss: 0.7138591, Train BER (3 dB) : 0.2654572, Valid BER: 0.2636566, Tgt BER: 0.2636566, Noiseless BER 0.1826782, Valid BLER : 0.9306641
[200/50000] At 3 dB, Loss: 0.6775658, Train BER (3 dB) : 0.2643585, Valid BER: 0.2602081, Tgt BER: 0.2602081, Noiseless BER 0.1717834, Valid BLER : 0.9019775
[300/50000] At 3 dB, Loss: 0.6659614, Train BER (3 dB) : 0.2583771, Valid BER: 0.2511292, Tgt BER: 0.2511292, Noiseless BER 0.1683044, Valid BLER : 0.8878174
[400/50000] At 3 dB, Loss: 0.6705301, Train BER (3 dB) : 0.2561951, Valid BER: 0.2382812, Tgt BER: 0.2382812, Noiseless BER 0.1362457, Valid BLER : 0.8371582
[500/50000] At 3 dB, Loss: 0.6567426, Train BER (3 dB) : 0.2439728, Valid BER: 0.2258759, Tgt BER: 0.2258759, Noiseless BER 0.1076202, Valid BLER : 0.8052979
[600/50000] At 3 dB, Loss: 0.6502835, Train BER (3 dB) : 0.2383575, Valid BER: 0.2230225, Tgt BER: 0.2230225, Noiseless BER 0.1030426, Valid BLER : 0.7884521
[700/50000] At 3 dB, Loss: 0.6387131, Train BER (3 dB) : 0.2296753, Valid BER: 0.2151337, Tgt BER: 0.2151337, Noiseless BER 0.0793610, Valid BLER : 0.7359619
[800/50000] At 3 dB, Loss: 0.6396121, Train BER (3 dB) : 0.2307434, Valid BER: 0.2138214, Tgt BER: 0.2138214, Noiseless BER 0.0798340, Valid BLER : 0.7373047
[900/50000] At 3 dB, Loss: 0.6264072, Train BER (3 dB) : 0.2253265, Valid BER: 0.2122650, Tgt BER: 0.2122650, Noiseless BER 0.0707550, Valid BLER : 0.7209473
[1000/50000] At 3 dB, Loss: 0.6245348, Train BER (3 dB) : 0.2225189, Valid BER: 0.2110291, Tgt BER: 0.2110291, Noiseless BER 0.0671692, Valid BLER : 0.7021484
[1100/50000] At 3 dB, Loss: 0.5932598, Train BER (3 dB) : 0.2105408, Valid BER: 0.1984100, Tgt BER: 0.1984100, Noiseless BER 0.0502167, Valid BLER : 0.6649170
[1200/50000] At 3 dB, Loss: 0.5972093, Train BER (3 dB) : 0.2127228, Valid BER: 0.1869812, Tgt BER: 0.1869812, Noiseless BER 0.0325623, Valid BLER : 0.6009521
[1300/50000] At 3 dB, Loss: 0.5800887, Train BER (3 dB) : 0.2037964, Valid BER: 0.1826019, Tgt BER: 0.1826019, Noiseless BER 0.0176086, Valid BLER : 0.5650635
[1400/50000] At 3 dB, Loss: 0.5644245, Train BER (3 dB) : 0.1982422, Valid BER: 0.1750946, Tgt BER: 0.1750946, Noiseless BER 0.0070038, Valid BLER : 0.5214844
[1500/50000] At 3 dB, Loss: 0.5607947, Train BER (3 dB) : 0.1951141, Valid BER: 0.1714478, Tgt BER: 0.1714478, Noiseless BER 0.0064697, Valid BLER : 0.5170898
[1600/50000] At 3 dB, Loss: 0.5440765, Train BER (3 dB) : 0.1907654, Valid BER: 0.1638184, Tgt BER: 0.1638184, Noiseless BER 0.0024872, Valid BLER : 0.4891357
[1700/50000] At 3 dB, Loss: 0.5311430, Train BER (3 dB) : 0.1883698, Valid BER: 0.1695251, Tgt BER: 0.1695251, Noiseless BER 0.0005646, Valid BLER : 0.4970703
