Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[1.15546, -1.75108, -0.7072, -1.46909, 0.76325, -1.59175, -0.98935, 1.08708, -0.92957, 1.00254, 1.48527, 0.98527, 1.58993, 1.78851, 1.00532, -1.47097]","[-1.10142, -1.07066, -1.08671, -1.11375, -1.10335, -1.08698, -1.11461, -1.09857]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[-1.24731, 0.36347, 0.60921, 0.92312, 1.60261, 0.77171, 1.04476, -2.06399, 0.54364, -1.26089, -1.68799, -2.43947, -0.71847, -0.833, -1.68681, 2.16679]","[-1.10491, -1.0645, -1.06218, -1.08642, -1.11474, -1.08045, -1.10925, 1.06945]"
2,"[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[-0.28405, -2.51558, 1.31247, -1.46247, 2.83023, -0.60124, 1.24982, 1.77045, 1.07932, 2.27311, -0.83131, 0.52026, -1.38294, 0.73598, -0.66351, -0.33563]","[-1.05786, -1.12459, -1.10484, -1.04554, -1.07345, -1.05039, 1.09297, -1.09653]"
3,"[1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[-1.43137, 1.00776, -2.33993, -0.83173, 2.65761, 0.81783, -2.55172, 2.27549, 1.22093, -1.28509, 0.79071, 0.32365, -0.56084, -1.79709, 1.74822, -1.2622]","[-1.06122, -1.08658, -1.10874, -1.04117, -1.08939, 1.08006, -1.05598, -1.06005]"
4,"[1, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[1.41861, -0.24496, 1.70642, 1.54182, 0.22079, -1.05347, 0.189, -0.9839, -1.51814, 1.83703, -1.3337, -0.91686, 0.86331, 2.26132, -1.66984, 0.63483]","[-1.0663, -1.06493, -1.10966, -1.05406, -1.11942, 1.04174, -1.05585, 1.02427]"
5,"[1, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[1.07063, 0.38195, 0.44104, -0.66467, -1.86438, 0.36199, 2.96539, 0.17251, -0.29816, -1.64133, -0.83392, 0.62763, 1.35299, -2.19565, -0.90297, -1.05262]","[-1.09733, -1.0795, -1.09069, -1.08757, -1.07888, 1.09454, 1.11154, -1.08508]"
6,"[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[-0.96509, -1.4797, 0.08499, 1.09365, 0.39119, -0.03376, -1.45325, 0.08616, 0.42718, 0.82581, 1.12462, -0.93841, -2.23319, 0.43744, 1.46637, 1.15702]","[-1.08907, -1.07179, -1.07163, -1.0904, -1.09907, 1.07601, 1.09651, 1.09802]"
7,"[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[-1.46554, -1.11711, -0.2345, -0.84543, -0.74703, -0.5083, -1.4762, 0.4607, 0.58412, 0.17437, 1.25803, 1.29213, -2.50666, 0.58247, 0.72738, 0.15651]","[-1.10101, -1.06159, -1.07807, -1.1015, 1.14396, -0.99674, -1.05034, -1.1279]"
8,"[1, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[1.81536, -0.04771, 0.88214, -0.92802, -0.72205, -2.20114, 0.25643, 0.47517, -1.08911, 1.25729, -1.35347, 1.52569, 0.77795, 1.51955, -0.23106, -0.28098]","[-1.08632, -1.11711, -1.12273, -1.08711, 1.11433, -1.04328, 1.12028, -1.09349]"
9,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[-2.10896, -0.07146, -1.38011, 2.36558, 2.47383, 1.14401, -1.53454, -0.81949, 1.34299, -0.50812, 1.57136, -1.06395, -0.93357, -0.72936, 0.97411, 2.01764]","[-1.08853, -1.10834, -1.08492, -1.06092, 1.12929, -1.04004, 1.06344, 1.09926]"
