Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : 3.0
Train SNR : 3.0
load training data? True
Number of heads : 1
Number of layers: 2
Positional encoding : static
Print frequency: 100
Num of steps: 12000
combinational training snr:  False
64
Training Model for 8,16 anew
Number of parameters : 100741
Did not find standard validation data
Need to save for: 100
[0/12000] At 3 dB, Loss: 2.0418108, Train BER (3 dB) : 0.4536743, Valid BER: 0.4553375, Tgt BER: 0.4553375, Noiseless BER 0.4488373, Valid BLER : 0.9960938
Time for one step is 0.0021 minutes
[100/12000] At 3 dB, Loss: 0.7135401, Train BER (3 dB) : 0.2684631, Valid BER: 0.2670441, Tgt BER: 0.2670441, Noiseless BER 0.1865387, Valid BLER : 0.9145508
[200/12000] At 3 dB, Loss: 0.6837577, Train BER (3 dB) : 0.2652740, Valid BER: 0.2584229, Tgt BER: 0.2584229, Noiseless BER 0.1743622, Valid BLER : 0.9074707
[300/12000] At 3 dB, Loss: 0.6728991, Train BER (3 dB) : 0.2575684, Valid BER: 0.2383423, Tgt BER: 0.2383423, Noiseless BER 0.1379700, Valid BLER : 0.8559570
[400/12000] At 3 dB, Loss: 0.6563085, Train BER (3 dB) : 0.2456665, Valid BER: 0.2280426, Tgt BER: 0.2280426, Noiseless BER 0.1111908, Valid BLER : 0.8389893
[500/12000] At 3 dB, Loss: 0.6366906, Train BER (3 dB) : 0.2329407, Valid BER: 0.2099152, Tgt BER: 0.2099152, Noiseless BER 0.0785675, Valid BLER : 0.7624512
[600/12000] At 3 dB, Loss: 0.6212214, Train BER (3 dB) : 0.2225494, Valid BER: 0.1933746, Tgt BER: 0.1933746, Noiseless BER 0.0396423, Valid BLER : 0.6479492
[700/12000] At 3 dB, Loss: 0.5949105, Train BER (3 dB) : 0.2058258, Valid BER: 0.1750336, Tgt BER: 0.1750336, Noiseless BER 0.0149994, Valid BLER : 0.5506592
[800/12000] At 3 dB, Loss: 0.5752986, Train BER (3 dB) : 0.1964722, Valid BER: 0.1704865, Tgt BER: 0.1704865, Noiseless BER 0.0028839, Valid BLER : 0.5053711
[900/12000] At 3 dB, Loss: 0.5603487, Train BER (3 dB) : 0.1906433, Valid BER: 0.1710358, Tgt BER: 0.1710358, Noiseless BER 0.0005035, Valid BLER : 0.4946289
[1000/12000] At 3 dB, Loss: 0.5425507, Train BER (3 dB) : 0.1864166, Valid BER: 0.1623840, Tgt BER: 0.1623840, Noiseless BER 0.0006256, Valid BLER : 0.4807129
[1100/12000] At 3 dB, Loss: 0.5367659, Train BER (3 dB) : 0.1867371, Valid BER: 0.1671906, Tgt BER: 0.1671906, Noiseless BER 0.0000000, Valid BLER : 0.5007324
[1200/12000] At 3 dB, Loss: 0.5161954, Train BER (3 dB) : 0.1830292, Valid BER: 0.1630707, Tgt BER: 0.1630707, Noiseless BER 0.0000000, Valid BLER : 0.5098877
[1300/12000] At 3 dB, Loss: 0.4857501, Train BER (3 dB) : 0.1742401, Valid BER: 0.1616516, Tgt BER: 0.1616516, Noiseless BER 0.0000000, Valid BLER : 0.5167236
[1400/12000] At 3 dB, Loss: 0.4806421, Train BER (3 dB) : 0.1770172, Valid BER: 0.1582947, Tgt BER: 0.1582947, Noiseless BER 0.0000000, Valid BLER : 0.5355225
[1500/12000] At 3 dB, Loss: 0.4654540, Train BER (3 dB) : 0.1718445, Valid BER: 0.1564789, Tgt BER: 0.1564789, Noiseless BER 0.0000000, Valid BLER : 0.5263672
[1600/12000] At 3 dB, Loss: 0.4460858, Train BER (3 dB) : 0.1656799, Valid BER: 0.1531219, Tgt BER: 0.1531219, Noiseless BER 0.0000000, Valid BLER : 0.5211182
[1700/12000] At 3 dB, Loss: 0.4530805, Train BER (3 dB) : 0.1706543, Valid BER: 0.1559448, Tgt BER: 0.1559448, Noiseless BER 0.0000000, Valid BLER : 0.5417480
[1800/12000] At 3 dB, Loss: 0.4393757, Train BER (3 dB) : 0.1641846, Valid BER: 0.1534576, Tgt BER: 0.1534576, Noiseless BER 0.0000000, Valid BLER : 0.5418701
[1900/12000] At 3 dB, Loss: 0.4327214, Train BER (3 dB) : 0.1626892, Valid BER: 0.1514130, Tgt BER: 0.1514130, Noiseless BER 0.0000000, Valid BLER : 0.5318604
[2000/12000] At 3 dB, Loss: 0.4246465, Train BER (3 dB) : 0.1595917, Valid BER: 0.1438293, Tgt BER: 0.1438293, Noiseless BER 0.0000000, Valid BLER : 0.5166016
[2100/12000] At 3 dB, Loss: 0.4173294, Train BER (3 dB) : 0.1582947, Valid BER: 0.1472168, Tgt BER: 0.1472168, Noiseless BER 0.0000000, Valid BLER : 0.5252686
[2200/12000] At 3 dB, Loss: 0.4175801, Train BER (3 dB) : 0.1565094, Valid BER: 0.1437683, Tgt BER: 0.1437683, Noiseless BER 0.0000000, Valid BLER : 0.5063477
[2300/12000] At 3 dB, Loss: 0.4081916, Train BER (3 dB) : 0.1548920, Valid BER: 0.1415558, Tgt BER: 0.1415558, Noiseless BER 0.0000000, Valid BLER : 0.5080566
[2400/12000] At 3 dB, Loss: 0.4029194, Train BER (3 dB) : 0.1528931, Valid BER: 0.1385956, Tgt BER: 0.1385956, Noiseless BER 0.0000000, Valid BLER : 0.5035400
[2500/12000] At 3 dB, Loss: 0.3916360, Train BER (3 dB) : 0.1477203, Valid BER: 0.1370392, Tgt BER: 0.1370392, Noiseless BER 0.0000000, Valid BLER : 0.4954834
[2600/12000] At 3 dB, Loss: 0.3916520, Train BER (3 dB) : 0.1478577, Valid BER: 0.1349640, Tgt BER: 0.1349640, Noiseless BER 0.0000000, Valid BLER : 0.4832764
[2700/12000] At 3 dB, Loss: 0.3938640, Train BER (3 dB) : 0.1498871, Valid BER: 0.1320190, Tgt BER: 0.1320190, Noiseless BER 0.0000000, Valid BLER : 0.4742432
[2800/12000] At 3 dB, Loss: 0.3877589, Train BER (3 dB) : 0.1451569, Valid BER: 0.1278076, Tgt BER: 0.1278076, Noiseless BER 0.0000000, Valid BLER : 0.4626465
[2900/12000] At 3 dB, Loss: 0.3890238, Train BER (3 dB) : 0.1463470, Valid BER: 0.1274261, Tgt BER: 0.1274261, Noiseless BER 0.0000000, Valid BLER : 0.4639893
[3000/12000] At 3 dB, Loss: 0.3803105, Train BER (3 dB) : 0.1431274, Valid BER: 0.1262360, Tgt BER: 0.1262360, Noiseless BER 0.0000000, Valid BLER : 0.4510498
[3100/12000] At 3 dB, Loss: 0.3767242, Train BER (3 dB) : 0.1402893, Valid BER: 0.1222229, Tgt BER: 0.1222229, Noiseless BER 0.0000000, Valid BLER : 0.4455566
[3200/12000] At 3 dB, Loss: 0.3708715, Train BER (3 dB) : 0.1375732, Valid BER: 0.1167908, Tgt BER: 0.1167908, Noiseless BER 0.0000000, Valid BLER : 0.4361572
[3300/12000] At 3 dB, Loss: 0.3729181, Train BER (3 dB) : 0.1392212, Valid BER: 0.1152191, Tgt BER: 0.1152191, Noiseless BER 0.0000000, Valid BLER : 0.4191895
[3400/12000] At 3 dB, Loss: 0.3676610, Train BER (3 dB) : 0.1351013, Valid BER: 0.1137238, Tgt BER: 0.1137238, Noiseless BER 0.0000000, Valid BLER : 0.4127197
[3500/12000] At 3 dB, Loss: 0.3581134, Train BER (3 dB) : 0.1315155, Valid BER: 0.1091919, Tgt BER: 0.1091919, Noiseless BER 0.0000000, Valid BLER : 0.3905029
[3600/12000] At 3 dB, Loss: 0.3591950, Train BER (3 dB) : 0.1320496, Valid BER: 0.1110382, Tgt BER: 0.1110382, Noiseless BER 0.0000000, Valid BLER : 0.3990479
[3700/12000] At 3 dB, Loss: 0.3562089, Train BER (3 dB) : 0.1294403, Valid BER: 0.1084900, Tgt BER: 0.1084900, Noiseless BER 0.0000000, Valid BLER : 0.3843994
[3800/12000] At 3 dB, Loss: 0.3477162, Train BER (3 dB) : 0.1268921, Valid BER: 0.1073303, Tgt BER: 0.1073303, Noiseless BER 0.0000000, Valid BLER : 0.3748779
[3900/12000] At 3 dB, Loss: 0.3570684, Train BER (3 dB) : 0.1302185, Valid BER: 0.1041412, Tgt BER: 0.1041412, Noiseless BER 0.0000000, Valid BLER : 0.3706055
[4000/12000] At 3 dB, Loss: 0.3480968, Train BER (3 dB) : 0.1267242, Valid BER: 0.1013031, Tgt BER: 0.1013031, Noiseless BER 0.0000000, Valid BLER : 0.3598633
[4100/12000] At 3 dB, Loss: 0.3388336, Train BER (3 dB) : 0.1214905, Valid BER: 0.1027069, Tgt BER: 0.1027069, Noiseless BER 0.0000000, Valid BLER : 0.3603516
[4200/12000] At 3 dB, Loss: 0.3460678, Train BER (3 dB) : 0.1259918, Valid BER: 0.0982361, Tgt BER: 0.0982361, Noiseless BER 0.0000000, Valid BLER : 0.3481445
