Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
Code : polar 
embed dim : 64 
Rate Profile : polar
Batch size : 8192
Validation SNR : -2.0
Number of heads : 1
Number of layers: 3
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 70000
64
Training Model for 8,16 anew
Number of parameters : 150471
Did not find standard validation data
Need to save for: 1000
[0/70000] At -2 dB, Loss: 1.0669956, Train BER (-2 dB) : 0.4836731, Valid BER: 0.4846344, Tgt BER: 0.4846344, Noiseless BER 0.4711456, Valid BLER : 0.9801025
Time for one step is 0.0028 minutes
[100/70000] At -2 dB, Loss: 0.9180192, Train BER (-2 dB) : 0.3809052, Valid BER: 0.3818665, Tgt BER: 0.3818665, Noiseless BER 0.1864319, Valid BLER : 0.9627686
[200/70000] At -2 dB, Loss: 0.9050360, Train BER (-2 dB) : 0.3771210, Valid BER: 0.3820038, Tgt BER: 0.3820038, Noiseless BER 0.1793823, Valid BLER : 0.9591064
[300/70000] At -2 dB, Loss: 0.9011072, Train BER (-2 dB) : 0.3763885, Valid BER: 0.3720093, Tgt BER: 0.3720093, Noiseless BER 0.1592560, Valid BLER : 0.9554443
[400/70000] At -2 dB, Loss: 0.8921790, Train BER (-2 dB) : 0.3747864, Valid BER: 0.3733673, Tgt BER: 0.3733673, Noiseless BER 0.1564178, Valid BLER : 0.9531250
[500/70000] At -2 dB, Loss: 0.8800392, Train BER (-2 dB) : 0.3708191, Valid BER: 0.3675079, Tgt BER: 0.3675079, Noiseless BER 0.1577454, Valid BLER : 0.9520264
[600/70000] At -2 dB, Loss: 0.8745363, Train BER (-2 dB) : 0.3664093, Valid BER: 0.3600006, Tgt BER: 0.3600006, Noiseless BER 0.1468353, Valid BLER : 0.9564209
[700/70000] At -2 dB, Loss: 0.8712169, Train BER (-2 dB) : 0.3666992, Valid BER: 0.3622284, Tgt BER: 0.3622284, Noiseless BER 0.1457672, Valid BLER : 0.9516602
[800/70000] At -2 dB, Loss: 0.8651867, Train BER (-2 dB) : 0.3626862, Valid BER: 0.3524323, Tgt BER: 0.3524323, Noiseless BER 0.1277466, Valid BLER : 0.9481201
[900/70000] At -2 dB, Loss: 0.8589494, Train BER (-2 dB) : 0.3606415, Valid BER: 0.3562469, Tgt BER: 0.3562469, Noiseless BER 0.1267700, Valid BLER : 0.9447021
[1000/70000] At -2 dB, Loss: 0.8629012, Train BER (-2 dB) : 0.3664856, Valid BER: 0.3524170, Tgt BER: 0.3524170, Noiseless BER 0.1266174, Valid BLER : 0.9442139
[1100/70000] At -2 dB, Loss: 0.8516219, Train BER (-2 dB) : 0.3586273, Valid BER: 0.3476715, Tgt BER: 0.3476715, Noiseless BER 0.1129150, Valid BLER : 0.9359131
[1200/70000] At -2 dB, Loss: 0.8494638, Train BER (-2 dB) : 0.3597717, Valid BER: 0.3466949, Tgt BER: 0.3466949, Noiseless BER 0.1073456, Valid BLER : 0.9399414
[1300/70000] At -2 dB, Loss: 0.8375236, Train BER (-2 dB) : 0.3542786, Valid BER: 0.3447723, Tgt BER: 0.3447723, Noiseless BER 0.0987091, Valid BLER : 0.9385986
[1400/70000] At -2 dB, Loss: 0.8293482, Train BER (-2 dB) : 0.3522644, Valid BER: 0.3431854, Tgt BER: 0.3431854, Noiseless BER 0.0845032, Valid BLER : 0.9276123
[1500/70000] At -2 dB, Loss: 0.8356023, Train BER (-2 dB) : 0.3524933, Valid BER: 0.3384857, Tgt BER: 0.3384857, Noiseless BER 0.0868530, Valid BLER : 0.9246826
[1600/70000] At -2 dB, Loss: 0.8267123, Train BER (-2 dB) : 0.3485870, Valid BER: 0.3372345, Tgt BER: 0.3372345, Noiseless BER 0.0815430, Valid BLER : 0.9241943
[1700/70000] At -2 dB, Loss: 0.8264035, Train BER (-2 dB) : 0.3501892, Valid BER: 0.3357391, Tgt BER: 0.3357391, Noiseless BER 0.0777435, Valid BLER : 0.9189453
[1800/70000] At -2 dB, Loss: 0.8103943, Train BER (-2 dB) : 0.3400269, Valid BER: 0.3376923, Tgt BER: 0.3376923, Noiseless BER 0.0715027, Valid BLER : 0.9190674
