Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
Code : polar 
embed dim : 64 
Rate Profile : polar
Batch size : 8192
Validation SNR : 3.0
Number of heads : 1
Number of layers: 3
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 50000
combinational training snr = True
64
Training Model for 8,16 anew
Number of parameters : 150471
Did not find standard validation data
Need to save for: 1000
[0/50000] At 3 dB, Loss: 1.1713226, Train BER (3 dB) : 0.4384613, Valid BER: 0.5576935, Tgt BER: 0.5576935, Noiseless BER 0.5697327, Valid BLER : 0.9941406
Time for one step is 0.0029 minutes
[100/50000] At 3 dB, Loss: 0.6215612, Train BER (3 dB) : 0.2397156, Valid BER: 0.2621765, Tgt BER: 0.2621765, Noiseless BER 0.1784058, Valid BLER : 0.8790283
[200/50000] At 3 dB, Loss: 0.5520298, Train BER (3 dB) : 0.1966095, Valid BER: 0.2133331, Tgt BER: 0.2133331, Noiseless BER 0.0812531, Valid BLER : 0.7429199
[300/50000] At 3 dB, Loss: 0.4996495, Train BER (3 dB) : 0.1633301, Valid BER: 0.1825256, Tgt BER: 0.1825256, Noiseless BER 0.0155029, Valid BLER : 0.5455322
[400/50000] At 3 dB, Loss: 0.4872153, Train BER (3 dB) : 0.1538544, Valid BER: 0.1818542, Tgt BER: 0.1818542, Noiseless BER 0.0013275, Valid BLER : 0.5012207
[500/50000] At 3 dB, Loss: 0.4546112, Train BER (3 dB) : 0.1427765, Valid BER: 0.1760406, Tgt BER: 0.1760406, Noiseless BER 0.0011749, Valid BLER : 0.4818115
[600/50000] At 3 dB, Loss: 0.4467447, Train BER (3 dB) : 0.1382294, Valid BER: 0.1722412, Tgt BER: 0.1722412, Noiseless BER 0.0000000, Valid BLER : 0.4666748
[700/50000] At 3 dB, Loss: 0.4544760, Train BER (3 dB) : 0.1418610, Valid BER: 0.1733704, Tgt BER: 0.1733704, Noiseless BER 0.0000000, Valid BLER : 0.4631348
[800/50000] At 3 dB, Loss: 0.4412800, Train BER (3 dB) : 0.1364136, Valid BER: 0.1656647, Tgt BER: 0.1656647, Noiseless BER 0.0000000, Valid BLER : 0.4589844
[900/50000] At 3 dB, Loss: 0.4395013, Train BER (3 dB) : 0.1356201, Valid BER: 0.1590729, Tgt BER: 0.1590729, Noiseless BER 0.0000000, Valid BLER : 0.4414062
[1000/50000] At 3 dB, Loss: 0.4196159, Train BER (3 dB) : 0.1287079, Valid BER: 0.1618958, Tgt BER: 0.1618958, Noiseless BER 0.0000000, Valid BLER : 0.4377441
[1100/50000] At 3 dB, Loss: 0.4237480, Train BER (3 dB) : 0.1304626, Valid BER: 0.1646576, Tgt BER: 0.1646576, Noiseless BER 0.0000000, Valid BLER : 0.4514160
[1200/50000] At 3 dB, Loss: 0.4144921, Train BER (3 dB) : 0.1266785, Valid BER: 0.1652374, Tgt BER: 0.1652374, Noiseless BER 0.0000000, Valid BLER : 0.4492188
[1300/50000] At 3 dB, Loss: 0.4078945, Train BER (3 dB) : 0.1248322, Valid BER: 0.1676025, Tgt BER: 0.1676025, Noiseless BER 0.0000000, Valid BLER : 0.4470215
[1400/50000] At 3 dB, Loss: 0.4154816, Train BER (3 dB) : 0.1274719, Valid BER: 0.1616364, Tgt BER: 0.1616364, Noiseless BER 0.0000000, Valid BLER : 0.4514160
[1500/50000] At 3 dB, Loss: 0.4186347, Train BER (3 dB) : 0.1291199, Valid BER: 0.1622009, Tgt BER: 0.1622009, Noiseless BER 0.0000000, Valid BLER : 0.4438477
[1600/50000] At 3 dB, Loss: 0.4137200, Train BER (3 dB) : 0.1279144, Valid BER: 0.1648560, Tgt BER: 0.1648560, Noiseless BER 0.0000000, Valid BLER : 0.4498291
[1700/50000] At 3 dB, Loss: 0.4121932, Train BER (3 dB) : 0.1275024, Valid BER: 0.1695709, Tgt BER: 0.1695709, Noiseless BER 0.0000000, Valid BLER : 0.4548340
[1800/50000] At 3 dB, Loss: 0.4050808, Train BER (3 dB) : 0.1247406, Valid BER: 0.1626129, Tgt BER: 0.1626129, Noiseless BER 0.0000000, Valid BLER : 0.4433594
[1900/50000] At 3 dB, Loss: 0.4039743, Train BER (3 dB) : 0.1258698, Valid BER: 0.1641846, Tgt BER: 0.1641846, Noiseless BER 0.0000000, Valid BLER : 0.4487305
[2000/50000] At 3 dB, Loss: 0.3938367, Train BER (3 dB) : 0.1215820, Valid BER: 0.1558990, Tgt BER: 0.1558990, Noiseless BER 0.0000000, Valid BLER : 0.4338379
[2100/50000] At 3 dB, Loss: 0.3869112, Train BER (3 dB) : 0.1196442, Valid BER: 0.1583862, Tgt BER: 0.1583862, Noiseless BER 0.0000000, Valid BLER : 0.4385986
[2200/50000] At 3 dB, Loss: 0.3803653, Train BER (3 dB) : 0.1193695, Valid BER: 0.1530762, Tgt BER: 0.1530762, Noiseless BER 0.0000000, Valid BLER : 0.4237061
[2300/50000] At 3 dB, Loss: 0.3859165, Train BER (3 dB) : 0.1218567, Valid BER: 0.1539001, Tgt BER: 0.1539001, Noiseless BER 0.0000000, Valid BLER : 0.4288330
[2400/50000] At 3 dB, Loss: 0.3825330, Train BER (3 dB) : 0.1205750, Valid BER: 0.1582031, Tgt BER: 0.1582031, Noiseless BER 0.0000000, Valid BLER : 0.4367676
[2500/50000] At 3 dB, Loss: 0.3791040, Train BER (3 dB) : 0.1199188, Valid BER: 0.1593323, Tgt BER: 0.1593323, Noiseless BER 0.0000000, Valid BLER : 0.4384766
[2600/50000] At 3 dB, Loss: 0.3795291, Train BER (3 dB) : 0.1211548, Valid BER: 0.1567993, Tgt BER: 0.1567993, Noiseless BER 0.0000000, Valid BLER : 0.4387207
[2700/50000] At 3 dB, Loss: 0.3708610, Train BER (3 dB) : 0.1179199, Valid BER: 0.1543427, Tgt BER: 0.1543427, Noiseless BER 0.0000000, Valid BLER : 0.4307861
[2800/50000] At 3 dB, Loss: 0.3637057, Train BER (3 dB) : 0.1149139, Valid BER: 0.1577454, Tgt BER: 0.1577454, Noiseless BER 0.0000000, Valid BLER : 0.4401855
[2900/50000] At 3 dB, Loss: 0.3681289, Train BER (3 dB) : 0.1174622, Valid BER: 0.1587677, Tgt BER: 0.1587677, Noiseless BER 0.0000000, Valid BLER : 0.4337158
[3000/50000] At 3 dB, Loss: 0.3644699, Train BER (3 dB) : 0.1167145, Valid BER: 0.1572113, Tgt BER: 0.1572113, Noiseless BER 0.0000000, Valid BLER : 0.4329834
[3100/50000] At 3 dB, Loss: 0.3569729, Train BER (3 dB) : 0.1150665, Valid BER: 0.1547241, Tgt BER: 0.1547241, Noiseless BER 0.0000000, Valid BLER : 0.4278564
[3200/50000] At 3 dB, Loss: 0.3594058, Train BER (3 dB) : 0.1159058, Valid BER: 0.1584015, Tgt BER: 0.1584015, Noiseless BER 0.0000000, Valid BLER : 0.4364014
[3300/50000] At 3 dB, Loss: 0.3619053, Train BER (3 dB) : 0.1162720, Valid BER: 0.1534424, Tgt BER: 0.1534424, Noiseless BER 0.0000000, Valid BLER : 0.4299316
[3400/50000] At 3 dB, Loss: 0.3575236, Train BER (3 dB) : 0.1160431, Valid BER: 0.1549225, Tgt BER: 0.1549225, Noiseless BER 0.0000000, Valid BLER : 0.4389648
[3500/50000] At 3 dB, Loss: 0.3624180, Train BER (3 dB) : 0.1181641, Valid BER: 0.1552887, Tgt BER: 0.1552887, Noiseless BER 0.0000000, Valid BLER : 0.4327393
[3600/50000] At 3 dB, Loss: 0.3673151, Train BER (3 dB) : 0.1190033, Valid BER: 0.1539917, Tgt BER: 0.1539917, Noiseless BER 0.0000000, Valid BLER : 0.4309082
[3700/50000] At 3 dB, Loss: 0.3630677, Train BER (3 dB) : 0.1184387, Valid BER: 0.1540070, Tgt BER: 0.1540070, Noiseless BER 0.0000000, Valid BLER : 0.4259033
[3800/50000] At 3 dB, Loss: 0.3602034, Train BER (3 dB) : 0.1169739, Valid BER: 0.1549683, Tgt BER: 0.1549683, Noiseless BER 0.0000000, Valid BLER : 0.4310303
[3900/50000] At 3 dB, Loss: 0.3586681, Train BER (3 dB) : 0.1164551, Valid BER: 0.1593933, Tgt BER: 0.1593933, Noiseless BER 0.0000000, Valid BLER : 0.4299316
[4000/50000] At 3 dB, Loss: 0.3478956, Train BER (3 dB) : 0.1134338, Valid BER: 0.1536407, Tgt BER: 0.1536407, Noiseless BER 0.0000000, Valid BLER : 0.4248047
[4100/50000] At 3 dB, Loss: 0.3627034, Train BER (3 dB) : 0.1195984, Valid BER: 0.1540222, Tgt BER: 0.1540222, Noiseless BER 0.0000000, Valid BLER : 0.4272461
