Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : 3.0
Number of heads : 1
Number of layers: 3
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 150000
combinational training snr:  True
64
Training Model for 8,16 anew
Number of parameters : 150471
Did not find standard validation data
Need to save for: 1000
[0/150000] At 3 dB, Loss: 1.7353868, Train BER (3 dB) : 0.5673981, Valid BER: 0.4756470, Tgt BER: 0.4756470, Noiseless BER 0.4736328, Valid BLER : 0.9765625
Time for one step is 0.0029 minutes
[100/150000] At 3 dB, Loss: 0.6377236, Train BER (3 dB) : 0.2434845, Valid BER: 0.2633972, Tgt BER: 0.2633972, Noiseless BER 0.1767731, Valid BLER : 0.8896484
[200/150000] At 3 dB, Loss: 0.5590983, Train BER (3 dB) : 0.2023010, Valid BER: 0.2126770, Tgt BER: 0.2126770, Noiseless BER 0.0896301, Valid BLER : 0.7510986
[300/150000] At 3 dB, Loss: 0.5096375, Train BER (3 dB) : 0.1716919, Valid BER: 0.1872559, Tgt BER: 0.1872559, Noiseless BER 0.0279694, Valid BLER : 0.5808105
[400/150000] At 3 dB, Loss: 0.4866185, Train BER (3 dB) : 0.1543274, Valid BER: 0.1757050, Tgt BER: 0.1757050, Noiseless BER 0.0063477, Valid BLER : 0.5042725
[500/150000] At 3 dB, Loss: 0.4666021, Train BER (3 dB) : 0.1478577, Valid BER: 0.1740723, Tgt BER: 0.1740723, Noiseless BER 0.0006714, Valid BLER : 0.4799805
[600/150000] At 3 dB, Loss: 0.4566180, Train BER (3 dB) : 0.1441040, Valid BER: 0.1711273, Tgt BER: 0.1711273, Noiseless BER 0.0000000, Valid BLER : 0.4649658
[700/150000] At 3 dB, Loss: 0.4364150, Train BER (3 dB) : 0.1370392, Valid BER: 0.1740265, Tgt BER: 0.1740265, Noiseless BER 0.0000000, Valid BLER : 0.4739990
[800/150000] At 3 dB, Loss: 0.4332599, Train BER (3 dB) : 0.1353912, Valid BER: 0.1746979, Tgt BER: 0.1746979, Noiseless BER 0.0000000, Valid BLER : 0.4693604
[900/150000] At 3 dB, Loss: 0.4284723, Train BER (3 dB) : 0.1325378, Valid BER: 0.1656036, Tgt BER: 0.1656036, Noiseless BER 0.0000000, Valid BLER : 0.4589844
