Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : 3.0
Number of heads : 1
Number of layers: 3
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 200000
combinational training snr:  False
64
Training Model for 8,16 anew
Number of parameters : 150471
Did not find standard validation data
Need to save for: 1000
[0/200000] At 3 dB, Loss: 1.6881373, Train BER (3 dB) : 0.5660858, Valid BER: 0.4371948, Tgt BER: 0.4371948, Noiseless BER 0.4251709, Valid BLER : 0.9215088
Time for one step is 0.0028 minutes
[100/200000] At 3 dB, Loss: 0.6997122, Train BER (3 dB) : 0.2630768, Valid BER: 0.2606659, Tgt BER: 0.2606659, Noiseless BER 0.1742249, Valid BLER : 0.8972168
[200/200000] At 3 dB, Loss: 0.6453996, Train BER (3 dB) : 0.2347717, Valid BER: 0.2054443, Tgt BER: 0.2054443, Noiseless BER 0.0660400, Valid BLER : 0.7086182
[300/200000] At 3 dB, Loss: 0.6031499, Train BER (3 dB) : 0.2166290, Valid BER: 0.1902618, Tgt BER: 0.1902618, Noiseless BER 0.0400696, Valid BLER : 0.6225586
[400/200000] At 3 dB, Loss: 0.5603676, Train BER (3 dB) : 0.1973572, Valid BER: 0.1824188, Tgt BER: 0.1824188, Noiseless BER 0.0231934, Valid BLER : 0.5744629
[500/200000] At 3 dB, Loss: 0.5429302, Train BER (3 dB) : 0.1901398, Valid BER: 0.1763458, Tgt BER: 0.1763458, Noiseless BER 0.0095520, Valid BLER : 0.5288086
[600/200000] At 3 dB, Loss: 0.5097687, Train BER (3 dB) : 0.1786346, Valid BER: 0.1686401, Tgt BER: 0.1686401, Noiseless BER 0.0069122, Valid BLER : 0.5283203
[700/200000] At 3 dB, Loss: 0.5192735, Train BER (3 dB) : 0.1831512, Valid BER: 0.1652374, Tgt BER: 0.1652374, Noiseless BER 0.0012970, Valid BLER : 0.5120850
[800/200000] At 3 dB, Loss: 0.4956583, Train BER (3 dB) : 0.1763306, Valid BER: 0.1606293, Tgt BER: 0.1606293, Noiseless BER 0.0007172, Valid BLER : 0.5050049
[900/200000] At 3 dB, Loss: 0.4673650, Train BER (3 dB) : 0.1700745, Valid BER: 0.1591797, Tgt BER: 0.1591797, Noiseless BER 0.0003662, Valid BLER : 0.5100098
[1000/200000] At 3 dB, Loss: 0.4603842, Train BER (3 dB) : 0.1707306, Valid BER: 0.1583405, Tgt BER: 0.1583405, Noiseless BER 0.0000000, Valid BLER : 0.5334473
[1100/200000] At 3 dB, Loss: 0.4382834, Train BER (3 dB) : 0.1660919, Valid BER: 0.1575165, Tgt BER: 0.1575165, Noiseless BER 0.0000000, Valid BLER : 0.5424805
[1200/200000] At 3 dB, Loss: 0.4060717, Train BER (3 dB) : 0.1578217, Valid BER: 0.1506500, Tgt BER: 0.1506500, Noiseless BER 0.0000000, Valid BLER : 0.5443115
[1300/200000] At 3 dB, Loss: 0.4021555, Train BER (3 dB) : 0.1600647, Valid BER: 0.1515808, Tgt BER: 0.1515808, Noiseless BER 0.0000000, Valid BLER : 0.5373535
[1400/200000] At 3 dB, Loss: 0.3938530, Train BER (3 dB) : 0.1573639, Valid BER: 0.1487885, Tgt BER: 0.1487885, Noiseless BER 0.0000000, Valid BLER : 0.5296631
[1500/200000] At 3 dB, Loss: 0.3871006, Train BER (3 dB) : 0.1556549, Valid BER: 0.1529999, Tgt BER: 0.1529999, Noiseless BER 0.0000000, Valid BLER : 0.5280762
