Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 64
Validation SNR : 3.0
Number of heads : 1
Number of layers: 3
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 1000000
combinational training snr:  False
64
Training Model for 8,16 anew
Number of parameters : 150471
Did not find standard validation data
Need to save for: 1000
[0/1000000] At 3 dB, Loss: 1.3775876, Train BER (3 dB) : 0.5234375, Valid BER: 0.5156250, Tgt BER: 0.5156250, Noiseless BER 0.5253906, Valid BLER : 0.9843750
Time for one step is 0.0002 minutes
[100/1000000] At 3 dB, Loss: 0.6601331, Train BER (3 dB) : 0.2382812, Valid BER: 0.2578125, Tgt BER: 0.2578125, Noiseless BER 0.1640625, Valid BLER : 0.8125000
[200/1000000] At 3 dB, Loss: 0.7853470, Train BER (3 dB) : 0.3007812, Valid BER: 0.2851562, Tgt BER: 0.2851562, Noiseless BER 0.1914062, Valid BLER : 0.9375000
[300/1000000] At 3 dB, Loss: 0.8618125, Train BER (3 dB) : 0.3105469, Valid BER: 0.2382812, Tgt BER: 0.2382812, Noiseless BER 0.1757812, Valid BLER : 0.8593750
[400/1000000] At 3 dB, Loss: 0.6200945, Train BER (3 dB) : 0.2421875, Valid BER: 0.3007812, Tgt BER: 0.3007812, Noiseless BER 0.1875000, Valid BLER : 0.9218750
[500/1000000] At 3 dB, Loss: 0.6475943, Train BER (3 dB) : 0.2675781, Valid BER: 0.2714844, Tgt BER: 0.2714844, Noiseless BER 0.1718750, Valid BLER : 0.8906250
[600/1000000] At 3 dB, Loss: 0.7057765, Train BER (3 dB) : 0.2617188, Valid BER: 0.2089844, Tgt BER: 0.2089844, Noiseless BER 0.1250000, Valid BLER : 0.7968750
[700/1000000] At 3 dB, Loss: 0.7322958, Train BER (3 dB) : 0.2832031, Valid BER: 0.2031250, Tgt BER: 0.2031250, Noiseless BER 0.1406250, Valid BLER : 0.8281250
[800/1000000] At 3 dB, Loss: 0.6775472, Train BER (3 dB) : 0.2695312, Valid BER: 0.2578125, Tgt BER: 0.2578125, Noiseless BER 0.1308594, Valid BLER : 0.8437500
[900/1000000] At 3 dB, Loss: 0.6208220, Train BER (3 dB) : 0.2226562, Valid BER: 0.2285156, Tgt BER: 0.2285156, Noiseless BER 0.1152344, Valid BLER : 0.7031250
