Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[0, 0, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0]","[-1.19383, 0.75307, -1.05075, -2.55352, -0.65386, -0.55008, -1.26517, -0.03577, -0.30904, 1.0921, -1.92581, -1.97582, -0.59746, -0.8045, -0.77142, 2.56331]","[1.03499, 1.03552, -1.05729, -1.03113, -1.05269, -1.05185, -1.05957, 1.03647]"
1,"[1, 0, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0]","[1.06908, -0.67347, -1.20548, 1.41164, -0.37383, 1.22364, 2.56523, -0.99074, -2.07741, 0.3549, 2.39579, -1.856, 0.26524, 0.21968, -2.10499, 1.49265]","[-1.04839, 1.05381, 1.04823, -1.05064, 1.06519, -1.0526, -1.05891, 1.04854]"
2,"[1, 0, 1, 0, 1, 1, 0, 1]","[1, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]","[-1.58794, -0.14177, -0.09163, 0.60736, 1.35173, -0.91036, 1.56149, 0.35315, 1.07033, 2.01126, 0.77105, 0.98267, -1.46049, 1.17412, -1.61816, -1.06681]","[-1.05165, 1.02803, -1.04268, 1.05462, -1.04876, -1.05287, 1.05366, -1.05042]"
3,"[0, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 1, 1, 1, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]","[-0.49596, -1.13854, -1.39208, -0.71937, 0.71057, 1.41173, -0.42495, 0.30204, 2.29402, -0.72368, -0.17646, 0.12076, 0.19789, 1.70969, -0.16103, 1.09901]","[1.05163, 1.002, -1.0288, -1.03458, -1.03458, 1.05023, -1.05124, 1.0499]"
4,"[1, 0, 1, 1, 1, 0, 0, 1]","[1, 0, 1, 1, 1, 0, 0, 1]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1]","[-0.54859, -1.28523, 2.37559, -1.17235, -0.24627, 1.65629, 0.29627, -0.11907, 1.46118, 2.04307, -1.2674, 1.75082, 0.90443, -0.79351, -0.58822, -1.13715]","[-1.04337, 1.05192, -0.30598, -1.01226, -0.96078, 1.03267, 1.06252, -1.04213]"
5,"[1, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]","[-1.19435, 0.50891, -1.46809, 1.25198, 0.03123, 2.36983, 1.22662, -0.12192, 1.26389, -0.19103, 1.56892, -1.52537, 0.70636, 0.07941, -2.21029, 0.87076]","[-1.03266, -1.0532, 1.04717, -1.05271, 1.0667, -1.05249, -1.05109, 1.05001]"
6,"[1, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[-0.73418, 2.70432, 1.93712, 1.00613, -0.81815, -0.7464, 0.02838, 1.0408, 0.68569, -0.47745, -1.82189, -1.28993, 1.39721, 0.95966, 1.42039, -0.15156]","[-1.04397, -1.03214, -1.03373, 1.04252, -1.03383, -1.04497, -1.04004, -1.03257]"
7,"[1, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[-0.83089, -2.00394, -1.41732, -0.90921, -0.55077, -0.69378, 0.91706, 2.50752, 0.6248, 1.35371, 1.92852, 2.00976, 0.82592, 1.56505, -0.79112, -0.51224]","[-1.05163, -1.05383, 1.05216, -1.05368, 1.04896, -1.05443, 1.05177, -1.05348]"
8,"[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]","[0.12073, 0.40573, -0.20367, -1.01297, 1.30907, -0.52284, 1.53899, -0.16055, 0.73652, -1.52159, 1.45799, 1.30351, -0.55823, 1.39626, -1.63883, -1.08123]","[-1.042, 1.05372, 1.04913, -1.03377, -0.98351, -1.04213, 1.05333, -1.03963]"
9,"[1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]","[-2.09395, -0.79375, 0.73292, -1.16478, 1.2789, 0.43412, -2.48914, 0.81482, 1.97342, 0.64929, -1.18818, 0.77158, -1.11541, -1.20635, 0.90626, -0.25383]","[-1.04922, 1.05467, 1.05399, -1.05134, -1.04955, 1.05241, -1.05076, -1.04985]"
10,"[0, 0, 1, 0, 0, 1, 1, 0]","[0, 0, 1, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[-0.12516, -0.46799, -0.28572, 1.9004, 1.06961, -0.08185, -3.22751, 1.65143, -0.92513, -1.04044, 2.23498, 1.03699, 1.67559, -1.42633, -1.2644, 1.24617]","[1.05254, 1.05241, -1.05828, 1.05174, 1.05071, -1.05089, -1.05189, 1.05165]"
11,"[0, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 1, 1]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]","[1.34887, -1.48117, -1.61783, 1.13914, 0.3849, 0.08067, -0.24247, 0.23504, 1.49376, -1.79175, -0.13547, 0.929, 3.04794, 1.31254, 0.62231, -0.63578]","[-1.04934, -1.04917, 1.04603, -1.02424, 1.05089, 1.04701, -1.04721, -1.04395]"
12,"[1, 0, 0, 1, 1, 1, 1, 1]","[1, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1]","[0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1]","[0.80797, 0.24524, -0.27782, -2.27237, -1.57046, -1.47494, -1.46403, 1.07947, -0.47634, -0.88199, -0.38479, 1.38033, 0.94236, 0.57087, 1.34598, -1.85799]","[-1.0483, 1.0516, 1.06269, -1.05224, -1.04735, -1.05052, -1.0501, -1.0504]"
13,"[0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 1, 1, 0, 0]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]","[1.21144, -0.88306, 1.09955, -1.44499, 0.61429, -1.57485, 2.14024, -1.22988, 0.78239, -1.10706, 0.65846, 0.22057, 0.38358, -0.21892, 2.07132, 0.9087]","[1.00671, 1.06844, 1.05788, 1.06587, -0.63434, -1.02991, 1.06392, 1.05574]"
14,"[0, 1, 1, 1, 1, 0, 0, 0]","[0, 0, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]","[1.09582, -0.00079, 1.22198, -1.81263, -0.33057, 1.51903, 0.27286, 1.86981, 0.481, -0.02766, 1.22728, -0.26816, -0.79851, 0.73607, 1.10014, 0.56587]","[1.05204, 1.04953, -1.04651, -1.04244, -1.00531, 1.05032, 1.04978, 1.05066]"
15,"[1, 0, 0, 0, 1, 1, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[-0.24019, -1.14964, -0.11873, 2.17106, -1.25374, 0.21813, -1.49096, 0.60278, 1.01593, 0.42476, 0.52789, 0.12167, 0.45006, 0.12749, 0.83099, -1.94954]","[-1.05166, 1.04266, -1.03813, -1.00433, 1.04323, 1.0492, -1.04947, -1.04649]"
16,"[0, 1, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.77806, 0.81571, 0.3579, 2.07177, -1.0398, -1.99794, 1.58475, 1.44043, 0.90465, 0.62416, 1.54491, 0.94558, -2.50652, -1.60302, -0.06377, 1.48716]","[1.04815, -1.0413, 1.04169, 1.04346, 1.02136, -1.0509, 1.04837, 1.04244]"
17,"[0, 0, 1, 1, 0, 0, 0, 1]","[0, 0, 1, 1, 0, 0, 0, 1]","[1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1]","[-0.78004, 0.90987, -1.22147, 0.34909, -1.40261, -0.56825, -1.59719, -2.89097, -0.9994, 1.78932, -1.16392, 1.19574, -1.91997, -0.5801, -0.91681, -0.84784]","[1.05274, 1.04954, -1.05114, -1.05277, 1.0509, 1.05174, 1.05218, -1.05234]"
18,"[0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 1, 1, 0, 0, 1, 1]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[1.5806, -0.93389, 1.28949, 2.403, 0.57845, -1.42133, 0.95693, 0.69892, 0.7706, 1.08939, 1.50812, 1.47439, 1.33733, -0.8682, 1.69762, -0.40406]","[1.04918, 1.03122, -1.03071, -1.04697, 1.0341, 1.05375, -1.06489, -1.03737]"
19,"[0, 0, 1, 1, 1, 0, 0, 1]","[0, 0, 1, 1, 1, 0, 0, 1]","[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1]","[1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1]","[-0.05703, 1.15442, -2.25263, 1.41032, 2.38056, -0.69874, -0.53646, -1.19034, 1.6957, 0.16322, -1.95927, 1.71707, 2.26077, -1.13346, -0.7733, -0.70131]","[1.05323, 1.05178, -1.04893, -1.05166, -1.04649, 1.05228, 1.0524, -1.05188]"
20,"[0, 1, 1, 1, 0, 1, 1, 0]","[0, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0]","[-1.66259, -2.03666, 0.81523, -1.91715, 1.77839, 0.1814, -0.52686, 1.64154, -0.52285, -0.13896, -1.10953, -0.75489, 1.4162, -2.11129, -1.07829, 1.119]","[1.03303, -1.0414, -0.9704, -1.02788, 0.99515, -1.0478, -1.04011, 1.03355]"
21,"[1, 0, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 1, 0, 0]","[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0]","[1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0]","[-2.19131, -0.94419, 2.14574, 0.72502, 0.83742, -0.6608, -1.4203, -0.05905, 0.65008, 0.83758, -0.58364, -0.66189, -2.71049, -1.09774, 2.35149, 0.29618]","[-1.0446, 1.05929, 1.04618, -1.04795, 1.04022, -1.05159, 1.04707, 1.05043]"
22,"[1, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1]","[-1.41993, -0.36683, 1.53459, 2.02242, -1.094, -0.49025, -0.57675, -0.62984, 1.63069, 1.62114, -0.9401, -1.89602, 1.20175, 0.13088, 0.85566, -0.30361]","[-1.04561, -1.04816, 1.07252, -1.04121, 1.06181, 1.06881, 1.07312, 1.07392]"
23,"[0, 1, 1, 0, 0, 0, 1, 1]","[0, 1, 0, 0, 1, 0, 0, 1]","[0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1]","[0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[1.09552, 0.56003, -1.9157, -0.92267, 2.47401, -1.69711, -0.59059, -2.11132, 1.62944, -0.93218, -1.11505, -1.44533, 0.18957, -0.70611, 0.25785, -2.00641]","[1.05982, -0.92115, 1.02168, 1.04092, -0.98975, 1.05699, 1.01144, -1.03693]"
24,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.7921, 0.00031, 0.54317, 1.32484, 1.98544, 1.33029, 0.27202, 1.20996, 1.35124, 0.59826, 1.74612, 2.24517, 1.00036, 0.34876, 0.8082, 0.19058]","[0.92526, -0.15613, -0.78485, -0.83452, -1.03523, 0.91864, -0.56571, 1.02432]"
25,"[0, 1, 0, 1, 1, 0, 0, 0]","[0, 1, 0, 1, 1, 0, 0, 0]","[1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0]","[1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0]","[-0.28321, 1.51921, -1.81005, -2.20079, -0.61753, 0.77563, 1.36961, 2.00185, -0.19109, 2.29705, -0.50918, -0.30466, -1.86822, 0.68037, 0.57488, 0.64649]","[1.05311, -1.05083, 1.05457, -1.04992, -1.05282, 1.05245, 1.05328, 1.05285]"
26,"[0, 0, 1, 1, 0, 1, 1, 1]","[0, 0, 1, 1, 0, 1, 1, 1]","[1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1]","[1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1]","[-0.60034, -2.21845, 0.25338, 0.54706, 0.02553, 1.842, 0.21789, -0.60625, -1.59759, -0.88183, 1.14466, 1.35824, -1.30746, 0.37685, 1.09133, -1.46843]","[1.05204, 1.05193, -1.05217, -1.05242, 1.05558, -1.0519, -1.05052, -1.05098]"
27,"[1, 0, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]","[-1.25268, 1.31582, -1.29074, 1.25082, -1.55246, -1.72083, -0.7842, 0.9214, 1.0648, -1.07424, 1.65376, -0.70378, 0.92185, -0.15344, 0.63606, 0.64247]","[1.04712, -1.03277, 1.03182, 1.00918, 1.0519, -1.04352, -0.99545, 1.0425]"
28,"[0, 0, 1, 0, 1, 1, 0, 1]","[0, 0, 1, 0, 1, 1, 0, 1]","[0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1]","[-0.37918, 2.30723, 1.68113, -0.90262, -1.93478, 1.94563, -1.13344, -2.6073, 1.42286, 0.92197, 0.1564, -0.6375, -1.70878, 1.71621, -0.48487, -1.12363]","[1.05333, 1.05211, -1.05394, 1.05017, -1.04693, -1.05347, 1.05263, -1.0533]"
29,"[0, 0, 0, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 1, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0]","[-0.65271, -0.94606, -0.83644, 1.73757, -2.24297, -1.52728, -0.78187, 0.95304, -1.04747, -1.81839, -0.86372, 0.24253, -1.4545, -1.48028, -0.96925, 0.7761]","[1.0517, 1.04418, 1.05164, 1.05123, -1.04959, -1.05075, -1.05251, 1.05199]"
30,"[0, 0, 1, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 1]","[0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1]","[0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]","[1.1371, -1.37127, -1.92481, 1.08027, 0.99916, 0.45283, -0.86757, -0.51199, 1.51247, 0.52361, -0.37434, 0.89164, 0.12127, 0.99187, 0.15173, -0.32355]","[1.05716, -0.7423, 1.06628, -1.01274, -1.00749, -1.03861, -1.03369, -1.02549]"
31,"[0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[-0.28646, -0.81437, 1.11051, 1.46764, 1.22599, 0.36915, 0.33393, 1.23338, -1.44607, -2.31414, 1.26702, 0.81161, 0.12692, 1.27398, 0.58821, 0.03753]","[1.052, -1.05032, 1.0505, 1.05147, 1.05319, 1.05116, 1.05199, 1.0518]"
