Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : 3.0
Train SNR : 10.0
load training data? True
Number of heads : 1
Number of layers: 3
Positional encoding : static
Print frequency: 100
Num of steps: 200000
combinational training snr:  False
64
Training Model for 8,16 anew
Number of parameters : 150471
Did not find standard validation data
Need to save for: 1000
tensor([[-1., -1., -1., -1., -1., -1., -1., -1.]], device='cuda:0')
tensor([[ 1.,  1., -1., -1., -1., -1., -1.,  1.]], device='cuda:0')
[0/200000] At 3 dB, Loss: 1.1041287, Train BER (10 dB) : 0.5189209, Valid BER: 0.4546814, Tgt BER: 0.4546814, Noiseless BER 0.4462738, Valid BLER : 0.9486084
Time for one step is 0.0028 minutes
[100/200000] At 3 dB, Loss: 0.4349838, Train BER (10 dB) : 0.1817169, Valid BER: 0.2578125, Tgt BER: 0.2578125, Noiseless BER 0.1665802, Valid BLER : 0.8900146
[200/200000] At 3 dB, Loss: 0.2606043, Train BER (10 dB) : 0.0961914, Valid BER: 0.2079468, Tgt BER: 0.2079468, Noiseless BER 0.0667877, Valid BLER : 0.7087402
[300/200000] At 3 dB, Loss: 0.1641462, Train BER (10 dB) : 0.0579071, Valid BER: 0.1791077, Tgt BER: 0.1791077, Noiseless BER 0.0154724, Valid BLER : 0.5350342
[400/200000] At 3 dB, Loss: 0.0875506, Train BER (10 dB) : 0.0267029, Valid BER: 0.1738586, Tgt BER: 0.1738586, Noiseless BER 0.0000000, Valid BLER : 0.4794922
[500/200000] At 3 dB, Loss: 0.0509669, Train BER (10 dB) : 0.0141144, Valid BER: 0.1721954, Tgt BER: 0.1721954, Noiseless BER 0.0000000, Valid BLER : 0.4759521
[600/200000] At 3 dB, Loss: 0.0331971, Train BER (10 dB) : 0.0091858, Valid BER: 0.1757965, Tgt BER: 0.1757965, Noiseless BER 0.0000000, Valid BLER : 0.4785156
[700/200000] At 3 dB, Loss: 0.0267214, Train BER (10 dB) : 0.0073242, Valid BER: 0.1761322, Tgt BER: 0.1761322, Noiseless BER 0.0000000, Valid BLER : 0.4801025
[800/200000] At 3 dB, Loss: 0.0241171, Train BER (10 dB) : 0.0063324, Valid BER: 0.1798706, Tgt BER: 0.1798706, Noiseless BER 0.0000000, Valid BLER : 0.4868164
[900/200000] At 3 dB, Loss: 0.0182979, Train BER (10 dB) : 0.0047150, Valid BER: 0.1793518, Tgt BER: 0.1793518, Noiseless BER 0.0000000, Valid BLER : 0.4869385
[1000/200000] At 3 dB, Loss: 0.0190391, Train BER (10 dB) : 0.0050964, Valid BER: 0.1760559, Tgt BER: 0.1760559, Noiseless BER 0.0000000, Valid BLER : 0.4898682
[1100/200000] At 3 dB, Loss: 0.0160567, Train BER (10 dB) : 0.0040131, Valid BER: 0.1741028, Tgt BER: 0.1741028, Noiseless BER 0.0000000, Valid BLER : 0.4803467
[1200/200000] At 3 dB, Loss: 0.0143635, Train BER (10 dB) : 0.0035706, Valid BER: 0.1728363, Tgt BER: 0.1728363, Noiseless BER 0.0000000, Valid BLER : 0.4796143
[1300/200000] At 3 dB, Loss: 0.0145923, Train BER (10 dB) : 0.0037994, Valid BER: 0.1737061, Tgt BER: 0.1737061, Noiseless BER 0.0000000, Valid BLER : 0.4758301
[1400/200000] At 3 dB, Loss: 0.0153413, Train BER (10 dB) : 0.0037689, Valid BER: 0.1802826, Tgt BER: 0.1802826, Noiseless BER 0.0000000, Valid BLER : 0.4904785
[1500/200000] At 3 dB, Loss: 0.0156240, Train BER (10 dB) : 0.0039825, Valid BER: 0.1730652, Tgt BER: 0.1730652, Noiseless BER 0.0000000, Valid BLER : 0.4805908
[1600/200000] At 3 dB, Loss: 0.0154884, Train BER (10 dB) : 0.0037842, Valid BER: 0.1770172, Tgt BER: 0.1770172, Noiseless BER 0.0000000, Valid BLER : 0.4794922
[1700/200000] At 3 dB, Loss: 0.0147271, Train BER (10 dB) : 0.0036926, Valid BER: 0.1710815, Tgt BER: 0.1710815, Noiseless BER 0.0000000, Valid BLER : 0.4775391
[1800/200000] At 3 dB, Loss: 0.0131577, Train BER (10 dB) : 0.0032501, Valid BER: 0.1725616, Tgt BER: 0.1725616, Noiseless BER 0.0000000, Valid BLER : 0.4803467
[1900/200000] At 3 dB, Loss: 0.0108853, Train BER (10 dB) : 0.0027924, Valid BER: 0.1729126, Tgt BER: 0.1729126, Noiseless BER 0.0000000, Valid BLER : 0.4807129
[2000/200000] At 3 dB, Loss: 0.0113855, Train BER (10 dB) : 0.0028992, Valid BER: 0.1742096, Tgt BER: 0.1742096, Noiseless BER 0.0000000, Valid BLER : 0.4824219
[2100/200000] At 3 dB, Loss: 0.0112083, Train BER (10 dB) : 0.0027008, Valid BER: 0.1735840, Tgt BER: 0.1735840, Noiseless BER 0.0000000, Valid BLER : 0.4826660
[2200/200000] At 3 dB, Loss: 0.0088387, Train BER (10 dB) : 0.0021210, Valid BER: 0.1755676, Tgt BER: 0.1755676, Noiseless BER 0.0000000, Valid BLER : 0.4829102
[2300/200000] At 3 dB, Loss: 0.0101559, Train BER (10 dB) : 0.0025024, Valid BER: 0.1722412, Tgt BER: 0.1722412, Noiseless BER 0.0000000, Valid BLER : 0.4820557
[2400/200000] At 3 dB, Loss: 0.0107402, Train BER (10 dB) : 0.0027313, Valid BER: 0.1757050, Tgt BER: 0.1757050, Noiseless BER 0.0000000, Valid BLER : 0.4787598
[2500/200000] At 3 dB, Loss: 0.0114480, Train BER (10 dB) : 0.0028229, Valid BER: 0.1789551, Tgt BER: 0.1789551, Noiseless BER 0.0000000, Valid BLER : 0.4799805
