Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
Code : polar 
embed dim : 40 
Rate Profile : polar
Batch size : 8192
Validation SNR : 3.0
Number of heads : 1
Number of layers: 3
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 50000
40
Training Model for 8,16 anew
Number of parameters : 59487
Did not find standard validation data
Need to save for: 1000
[0/50000] At 3 dB, Loss: 1.6005225, Train BER (3 dB) : 0.5497131, Valid BER: 0.5475769, Tgt BER: 0.5475769, Noiseless BER 0.5584717, Valid BLER : 0.9995117
Time for one step is 0.0009 minutes
[100/50000] At 3 dB, Loss: 0.7164834, Train BER (3 dB) : 0.2671051, Valid BER: 0.2641907, Tgt BER: 0.2641907, Noiseless BER 0.1786194, Valid BLER : 0.9052734
[200/50000] At 3 dB, Loss: 0.6797112, Train BER (3 dB) : 0.2649536, Valid BER: 0.2562866, Tgt BER: 0.2562866, Noiseless BER 0.1648560, Valid BLER : 0.8947754
[300/50000] At 3 dB, Loss: 0.6566194, Train BER (3 dB) : 0.2499542, Valid BER: 0.2327118, Tgt BER: 0.2327118, Noiseless BER 0.1228485, Valid BLER : 0.8477783
[400/50000] At 3 dB, Loss: 0.6318870, Train BER (3 dB) : 0.2350311, Valid BER: 0.2142944, Tgt BER: 0.2142944, Noiseless BER 0.0873718, Valid BLER : 0.7882080
[500/50000] At 3 dB, Loss: 0.5928240, Train BER (3 dB) : 0.2178802, Valid BER: 0.1975555, Tgt BER: 0.1975555, Noiseless BER 0.0540771, Valid BLER : 0.6927490
[600/50000] At 3 dB, Loss: 0.5797059, Train BER (3 dB) : 0.2087708, Valid BER: 0.1847534, Tgt BER: 0.1847534, Noiseless BER 0.0245972, Valid BLER : 0.5872803
[700/50000] At 3 dB, Loss: 0.5537127, Train BER (3 dB) : 0.1988678, Valid BER: 0.1734619, Tgt BER: 0.1734619, Noiseless BER 0.0102386, Valid BLER : 0.5325928
[800/50000] At 3 dB, Loss: 0.5461654, Train BER (3 dB) : 0.1948395, Valid BER: 0.1708069, Tgt BER: 0.1708069, Noiseless BER 0.0025177, Valid BLER : 0.5125732
[900/50000] At 3 dB, Loss: 0.5348204, Train BER (3 dB) : 0.1899109, Valid BER: 0.1667480, Tgt BER: 0.1667480, Noiseless BER 0.0012054, Valid BLER : 0.5092773
[1000/50000] At 3 dB, Loss: 0.5251371, Train BER (3 dB) : 0.1876068, Valid BER: 0.1678467, Tgt BER: 0.1678467, Noiseless BER 0.0006409, Valid BLER : 0.5056152
[1100/50000] At 3 dB, Loss: 0.5137237, Train BER (3 dB) : 0.1821747, Valid BER: 0.1688232, Tgt BER: 0.1688232, Noiseless BER 0.0007019, Valid BLER : 0.5186768
[1200/50000] At 3 dB, Loss: 0.5034342, Train BER (3 dB) : 0.1786194, Valid BER: 0.1624756, Tgt BER: 0.1624756, Noiseless BER 0.0004272, Valid BLER : 0.5172119
[1300/50000] At 3 dB, Loss: 0.5065359, Train BER (3 dB) : 0.1839905, Valid BER: 0.1622772, Tgt BER: 0.1622772, Noiseless BER 0.0000000, Valid BLER : 0.5123291
[1400/50000] At 3 dB, Loss: 0.4811288, Train BER (3 dB) : 0.1751862, Valid BER: 0.1589050, Tgt BER: 0.1589050, Noiseless BER 0.0000000, Valid BLER : 0.5142822
[1500/50000] At 3 dB, Loss: 0.4816151, Train BER (3 dB) : 0.1770325, Valid BER: 0.1577606, Tgt BER: 0.1577606, Noiseless BER 0.0000000, Valid BLER : 0.5107422
[1600/50000] At 3 dB, Loss: 0.4666075, Train BER (3 dB) : 0.1719971, Valid BER: 0.1555481, Tgt BER: 0.1555481, Noiseless BER 0.0000000, Valid BLER : 0.5087891
[1700/50000] At 3 dB, Loss: 0.4577671, Train BER (3 dB) : 0.1690216, Valid BER: 0.1582794, Tgt BER: 0.1582794, Noiseless BER 0.0000000, Valid BLER : 0.5209961
[1800/50000] At 3 dB, Loss: 0.4552630, Train BER (3 dB) : 0.1694641, Valid BER: 0.1548462, Tgt BER: 0.1548462, Noiseless BER 0.0000000, Valid BLER : 0.5343018
