Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
Code : polar 
embed dim : 64 
Rate Profile : polar
Batch size : 8192
Validation SNR : -2.0
Number of heads : 2
Number of layers: 2
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 100000
64
Training Model for 8,16 anew
Number of parameters : 100741
Did not find standard validation data
Need to save for: 1000
[0/100000] At -2 dB, Loss: 1.6728702, Train BER (-2 dB) : 0.5274811, Valid BER: 0.4698486, Tgt BER: 0.4698486, Noiseless BER 0.4500427, Valid BLER : 0.9974365
Time for one step is 0.0025 minutes
[100/100000] At -2 dB, Loss: 0.9168571, Train BER (-2 dB) : 0.3811035, Valid BER: 0.3835297, Tgt BER: 0.3835297, Noiseless BER 0.1958771, Valid BLER : 0.9598389
[200/100000] At -2 dB, Loss: 0.9104981, Train BER (-2 dB) : 0.3790131, Valid BER: 0.3780518, Tgt BER: 0.3780518, Noiseless BER 0.1930847, Valid BLER : 0.9654541
[300/100000] At -2 dB, Loss: 0.8972777, Train BER (-2 dB) : 0.3799133, Valid BER: 0.3742676, Tgt BER: 0.3742676, Noiseless BER 0.1915588, Valid BLER : 0.9597168
[400/100000] At -2 dB, Loss: 0.8874316, Train BER (-2 dB) : 0.3709412, Valid BER: 0.3706055, Tgt BER: 0.3706055, Noiseless BER 0.1620026, Valid BLER : 0.9506836
[500/100000] At -2 dB, Loss: 0.8833973, Train BER (-2 dB) : 0.3714600, Valid BER: 0.3641968, Tgt BER: 0.3641968, Noiseless BER 0.1584320, Valid BLER : 0.9519043
[600/100000] At -2 dB, Loss: 0.8730633, Train BER (-2 dB) : 0.3685455, Valid BER: 0.3616333, Tgt BER: 0.3616333, Noiseless BER 0.1426544, Valid BLER : 0.9476318
[700/100000] At -2 dB, Loss: 0.8681402, Train BER (-2 dB) : 0.3661194, Valid BER: 0.3577881, Tgt BER: 0.3577881, Noiseless BER 0.1385193, Valid BLER : 0.9467773
[800/100000] At -2 dB, Loss: 0.8762760, Train BER (-2 dB) : 0.3732300, Valid BER: 0.3566742, Tgt BER: 0.3566742, Noiseless BER 0.1160889, Valid BLER : 0.9390869
[900/100000] At -2 dB, Loss: 0.8563100, Train BER (-2 dB) : 0.3626404, Valid BER: 0.3506622, Tgt BER: 0.3506622, Noiseless BER 0.1052094, Valid BLER : 0.9351807
[1000/100000] At -2 dB, Loss: 0.8640732, Train BER (-2 dB) : 0.3671570, Valid BER: 0.3544922, Tgt BER: 0.3544922, Noiseless BER 0.0936890, Valid BLER : 0.9400635
[1100/100000] At -2 dB, Loss: 0.8578946, Train BER (-2 dB) : 0.3638153, Valid BER: 0.3528595, Tgt BER: 0.3528595, Noiseless BER 0.0943756, Valid BLER : 0.9346924
[1200/100000] At -2 dB, Loss: 0.8505092, Train BER (-2 dB) : 0.3577118, Valid BER: 0.3507233, Tgt BER: 0.3507233, Noiseless BER 0.0942230, Valid BLER : 0.9324951
[1300/100000] At -2 dB, Loss: 0.8532960, Train BER (-2 dB) : 0.3571320, Valid BER: 0.3437347, Tgt BER: 0.3437347, Noiseless BER 0.0864258, Valid BLER : 0.9270020
[1400/100000] At -2 dB, Loss: 0.8494924, Train BER (-2 dB) : 0.3582764, Valid BER: 0.3470612, Tgt BER: 0.3470612, Noiseless BER 0.0728912, Valid BLER : 0.9276123
[1500/100000] At -2 dB, Loss: 0.8444152, Train BER (-2 dB) : 0.3570709, Valid BER: 0.3440704, Tgt BER: 0.3440704, Noiseless BER 0.0706787, Valid BLER : 0.9224854
[1600/100000] At -2 dB, Loss: 0.8386961, Train BER (-2 dB) : 0.3516846, Valid BER: 0.3420105, Tgt BER: 0.3420105, Noiseless BER 0.0663757, Valid BLER : 0.9197998
[1700/100000] At -2 dB, Loss: 0.8424266, Train BER (-2 dB) : 0.3534698, Valid BER: 0.3391724, Tgt BER: 0.3391724, Noiseless BER 0.0658875, Valid BLER : 0.9182129
[1800/100000] At -2 dB, Loss: 0.8327420, Train BER (-2 dB) : 0.3479004, Valid BER: 0.3427124, Tgt BER: 0.3427124, Noiseless BER 0.0642395, Valid BLER : 0.9240723
