Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : -2.0
Train SNR : -2.0
load training data? True
Number of heads : 3
Number of layers: 3
Positional encoding : static
Print frequency: 100
Num of steps: 100000
combinational training snr:  False
64
Training Model for 8,16 anew
Number of parameters : 149703
Did not find standard validation data
Need to save for: 1000
tensor([[-1., -1., -1., -1., -1., -1., -1., -1.]], device='cuda:0')
tensor([[ 1.,  1., -1., -1., -1., -1., -1.,  1.]], device='cuda:0')
[0/100000] At -2 dB, Loss: 1.1839186, Train BER (-2 dB) : 0.5213318, Valid BER: 0.4733734, Tgt BER: 0.4733734, Noiseless BER 0.4523621, Valid BLER : 0.9815674
Time for one step is 0.0040 minutes
[100/100000] At -2 dB, Loss: 0.9170511, Train BER (-2 dB) : 0.3821411, Valid BER: 0.3806000, Tgt BER: 0.3806000, Noiseless BER 0.1908569, Valid BLER : 0.9626465
[200/100000] At -2 dB, Loss: 0.9090837, Train BER (-2 dB) : 0.3802795, Valid BER: 0.3746033, Tgt BER: 0.3746033, Noiseless BER 0.1734467, Valid BLER : 0.9566650
[300/100000] At -2 dB, Loss: 0.8869724, Train BER (-2 dB) : 0.3730774, Valid BER: 0.3620148, Tgt BER: 0.3620148, Noiseless BER 0.1439514, Valid BLER : 0.9545898
[400/100000] At -2 dB, Loss: 0.8730141, Train BER (-2 dB) : 0.3662262, Valid BER: 0.3560638, Tgt BER: 0.3560638, Noiseless BER 0.1399841, Valid BLER : 0.9467773
[500/100000] At -2 dB, Loss: 0.8594686, Train BER (-2 dB) : 0.3614349, Valid BER: 0.3501740, Tgt BER: 0.3501740, Noiseless BER 0.1307220, Valid BLER : 0.9479980
[600/100000] At -2 dB, Loss: 0.8461919, Train BER (-2 dB) : 0.3573914, Valid BER: 0.3463898, Tgt BER: 0.3463898, Noiseless BER 0.1196442, Valid BLER : 0.9420166
[700/100000] At -2 dB, Loss: 0.8370997, Train BER (-2 dB) : 0.3492126, Valid BER: 0.3386536, Tgt BER: 0.3386536, Noiseless BER 0.1064758, Valid BLER : 0.9300537
[800/100000] At -2 dB, Loss: 0.8427970, Train BER (-2 dB) : 0.3538208, Valid BER: 0.3428345, Tgt BER: 0.3428345, Noiseless BER 0.0876923, Valid BLER : 0.9305420
[900/100000] At -2 dB, Loss: 0.8376055, Train BER (-2 dB) : 0.3516541, Valid BER: 0.3373871, Tgt BER: 0.3373871, Noiseless BER 0.0765076, Valid BLER : 0.9248047
