Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
Code : polar 
Rate Profile : polar
Validation SNR : 1.2
Number of heads : 8
Number of layers: 6
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 20000
Training Model for 8,16 anew
Number of parameters : 299661
Did not find standard validation data
Need to save for: 5000
[0/20000] At 1 dB, Loss: 1.6820605, Train BER (1 dB) : 0.5298920, Valid BER: 0.4490204, Tgt BER: 0.4490204, Noiseless BER 0.4340363, Valid BLER : 0.9543457
Time for one step is 0.0018 minutes
[100/20000] At 1 dB, Loss: 0.7849850, Train BER (1 dB) : 0.3117371, Valid BER: 0.3106232, Tgt BER: 0.3106232, Noiseless BER 0.1834412, Valid BLER : 0.9410400
[200/20000] At 1 dB, Loss: 0.7090073, Train BER (1 dB) : 0.2867432, Valid BER: 0.2772217, Tgt BER: 0.2772217, Noiseless BER 0.1023407, Valid BLER : 0.8619385
[300/20000] At 1 dB, Loss: 0.6579341, Train BER (1 dB) : 0.2629547, Valid BER: 0.2574310, Tgt BER: 0.2574310, Noiseless BER 0.0687408, Valid BLER : 0.8001709
[400/20000] At 1 dB, Loss: 0.6114748, Train BER (1 dB) : 0.2501831, Valid BER: 0.2457733, Tgt BER: 0.2457733, Noiseless BER 0.0505829, Valid BLER : 0.7722168
[500/20000] At 1 dB, Loss: 0.5883326, Train BER (1 dB) : 0.2417145, Valid BER: 0.2323303, Tgt BER: 0.2323303, Noiseless BER 0.0000000, Valid BLER : 0.7142334
[600/20000] At 1 dB, Loss: 0.5671473, Train BER (1 dB) : 0.2376404, Valid BER: 0.2301331, Tgt BER: 0.2301331, Noiseless BER 0.0000000, Valid BLER : 0.7156982
[700/20000] At 1 dB, Loss: 0.5520784, Train BER (1 dB) : 0.2342072, Valid BER: 0.2306366, Tgt BER: 0.2306366, Noiseless BER 0.0000000, Valid BLER : 0.7261963
[800/20000] At 1 dB, Loss: 0.5431958, Train BER (1 dB) : 0.2323608, Valid BER: 0.2304840, Tgt BER: 0.2304840, Noiseless BER 0.0000000, Valid BLER : 0.7119141
[900/20000] At 1 dB, Loss: 0.5338567, Train BER (1 dB) : 0.2292786, Valid BER: 0.2369537, Tgt BER: 0.2369537, Noiseless BER 0.0000000, Valid BLER : 0.7351074
[1000/20000] At 1 dB, Loss: 0.5421659, Train BER (1 dB) : 0.2392120, Valid BER: 0.2301636, Tgt BER: 0.2301636, Noiseless BER 0.0000000, Valid BLER : 0.7149658
[1100/20000] At 1 dB, Loss: 0.5245839, Train BER (1 dB) : 0.2319183, Valid BER: 0.2290039, Tgt BER: 0.2290039, Noiseless BER 0.0000000, Valid BLER : 0.7187500
[1200/20000] At 1 dB, Loss: 0.5284798, Train BER (1 dB) : 0.2337036, Valid BER: 0.2322235, Tgt BER: 0.2322235, Noiseless BER 0.0000000, Valid BLER : 0.7270508
[1300/20000] At 1 dB, Loss: 0.5257623, Train BER (1 dB) : 0.2330475, Valid BER: 0.2274017, Tgt BER: 0.2274017, Noiseless BER 0.0000000, Valid BLER : 0.7181396
[1400/20000] At 1 dB, Loss: 0.5318996, Train BER (1 dB) : 0.2346191, Valid BER: 0.2356262, Tgt BER: 0.2356262, Noiseless BER 0.0000000, Valid BLER : 0.7301025
[1500/20000] At 1 dB, Loss: 0.5268334, Train BER (1 dB) : 0.2340851, Valid BER: 0.2351990, Tgt BER: 0.2351990, Noiseless BER 0.0000000, Valid BLER : 0.7342529
[1600/20000] At 1 dB, Loss: 0.5205427, Train BER (1 dB) : 0.2317200, Valid BER: 0.2313232, Tgt BER: 0.2313232, Noiseless BER 0.0000000, Valid BLER : 0.7299805
[1700/20000] At 1 dB, Loss: 0.5179434, Train BER (1 dB) : 0.2299652, Valid BER: 0.2274017, Tgt BER: 0.2274017, Noiseless BER 0.0000000, Valid BLER : 0.7108154
[1800/20000] At 1 dB, Loss: 0.5128836, Train BER (1 dB) : 0.2313995, Valid BER: 0.2338562, Tgt BER: 0.2338562, Noiseless BER 0.0000000, Valid BLER : 0.7314453
[1900/20000] At 1 dB, Loss: 0.5235277, Train BER (1 dB) : 0.2346344, Valid BER: 0.2306824, Tgt BER: 0.2306824, Noiseless BER 0.0000000, Valid BLER : 0.7291260
[2000/20000] At 1 dB, Loss: 0.5238789, Train BER (1 dB) : 0.2348022, Valid BER: 0.2307739, Tgt BER: 0.2307739, Noiseless BER 0.0000000, Valid BLER : 0.7187500
[2100/20000] At 1 dB, Loss: 0.5198516, Train BER (1 dB) : 0.2310791, Valid BER: 0.2305450, Tgt BER: 0.2305450, Noiseless BER 0.0000000, Valid BLER : 0.7204590
[2200/20000] At 1 dB, Loss: 0.5215741, Train BER (1 dB) : 0.2319336, Valid BER: 0.2301178, Tgt BER: 0.2301178, Noiseless BER 0.0000000, Valid BLER : 0.7292480
[2300/20000] At 1 dB, Loss: 0.5167353, Train BER (1 dB) : 0.2310333, Valid BER: 0.2276764, Tgt BER: 0.2276764, Noiseless BER 0.0000000, Valid BLER : 0.7055664
[2400/20000] At 1 dB, Loss: 0.5168876, Train BER (1 dB) : 0.2302399, Valid BER: 0.2300873, Tgt BER: 0.2300873, Noiseless BER 0.0000000, Valid BLER : 0.7191162
[2500/20000] At 1 dB, Loss: 0.5077251, Train BER (1 dB) : 0.2282257, Valid BER: 0.2341766, Tgt BER: 0.2341766, Noiseless BER 0.0000000, Valid BLER : 0.7330322
[2600/20000] At 1 dB, Loss: 0.5265574, Train BER (1 dB) : 0.2361908, Valid BER: 0.2287903, Tgt BER: 0.2287903, Noiseless BER 0.0000000, Valid BLER : 0.7227783
[2700/20000] At 1 dB, Loss: 0.5179808, Train BER (1 dB) : 0.2312012, Valid BER: 0.2282104, Tgt BER: 0.2282104, Noiseless BER 0.0000000, Valid BLER : 0.7252197
[2800/20000] At 1 dB, Loss: 0.5135429, Train BER (1 dB) : 0.2284088, Valid BER: 0.2223511, Tgt BER: 0.2223511, Noiseless BER 0.0000000, Valid BLER : 0.7103271
[2900/20000] At 1 dB, Loss: 0.5163584, Train BER (1 dB) : 0.2289886, Valid BER: 0.2313232, Tgt BER: 0.2313232, Noiseless BER 0.0000000, Valid BLER : 0.7114258
[3000/20000] At 1 dB, Loss: 0.5071008, Train BER (1 dB) : 0.2200012, Valid BER: 0.2174683, Tgt BER: 0.2174683, Noiseless BER 0.0000000, Valid BLER : 0.6746826
[3100/20000] At 1 dB, Loss: 0.4874313, Train BER (1 dB) : 0.2075653, Valid BER: 0.2068481, Tgt BER: 0.2068481, Noiseless BER 0.0000000, Valid BLER : 0.6496582
