Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : -2.0
Train SNR : -2.0
load training data? True
Number of heads : 8
Number of layers: 6
Positional encoding : static
Print frequency: 100
Num of steps: 150000
combinational training snr:  True
64
Training Model for 8,16 anew
Number of parameters : 299661
Did not find standard validation data
Need to save for: 1000
tensor([[-1., -1., -1., -1., -1., -1., -1., -1.]], device='cuda:0')
tensor([[ 1.,  1., -1., -1., -1., -1., -1.,  1.]], device='cuda:0')
[0/150000] At -2 dB, Loss: 1.2840062, Train BER (-2 dB) : 0.5527649, Valid BER: 0.4607086, Tgt BER: 0.4607086, Noiseless BER 0.4135742, Valid BLER : 0.9862061
Time for one step is 0.0115 minutes
[100/150000] At -2 dB, Loss: 0.6202843, Train BER (-2 dB) : 0.2432556, Valid BER: 0.3838043, Tgt BER: 0.3838043, Noiseless BER 0.1858215, Valid BLER : 0.9622803
[200/150000] At -2 dB, Loss: 0.4893692, Train BER (-2 dB) : 0.1613464, Valid BER: 0.3631592, Tgt BER: 0.3631592, Noiseless BER 0.0248566, Valid BLER : 0.8695068
[300/150000] At -2 dB, Loss: 0.4404269, Train BER (-2 dB) : 0.1338959, Valid BER: 0.3613434, Tgt BER: 0.3613434, Noiseless BER 0.0000000, Valid BLER : 0.8426514
[400/150000] At -2 dB, Loss: 0.4198538, Train BER (-2 dB) : 0.1306152, Valid BER: 0.3541565, Tgt BER: 0.3541565, Noiseless BER 0.0000000, Valid BLER : 0.8364258
[500/150000] At -2 dB, Loss: 0.4024514, Train BER (-2 dB) : 0.1250153, Valid BER: 0.3480988, Tgt BER: 0.3480988, Noiseless BER 0.0000000, Valid BLER : 0.8363037
[600/150000] At -2 dB, Loss: 0.3761265, Train BER (-2 dB) : 0.1176147, Valid BER: 0.3419495, Tgt BER: 0.3419495, Noiseless BER 0.0000000, Valid BLER : 0.8189697
[700/150000] At -2 dB, Loss: 0.3791405, Train BER (-2 dB) : 0.1209412, Valid BER: 0.3407135, Tgt BER: 0.3407135, Noiseless BER 0.0000000, Valid BLER : 0.8194580
[800/150000] At -2 dB, Loss: 0.3602668, Train BER (-2 dB) : 0.1151581, Valid BER: 0.3406677, Tgt BER: 0.3406677, Noiseless BER 0.0000000, Valid BLER : 0.8209229
[900/150000] At -2 dB, Loss: 0.3499510, Train BER (-2 dB) : 0.1141357, Valid BER: 0.3366852, Tgt BER: 0.3366852, Noiseless BER 0.0000000, Valid BLER : 0.8121338
[1000/150000] At -2 dB, Loss: 0.3360846, Train BER (-2 dB) : 0.1125488, Valid BER: 0.3334198, Tgt BER: 0.3334198, Noiseless BER 0.0000000, Valid BLER : 0.8183594
[1100/150000] At -2 dB, Loss: 0.3413183, Train BER (-2 dB) : 0.1173401, Valid BER: 0.3258209, Tgt BER: 0.3258209, Noiseless BER 0.0000000, Valid BLER : 0.8117676
[1200/150000] At -2 dB, Loss: 0.3223200, Train BER (-2 dB) : 0.1118622, Valid BER: 0.3251801, Tgt BER: 0.3251801, Noiseless BER 0.0000000, Valid BLER : 0.8084717
[1300/150000] At -2 dB, Loss: 0.3212256, Train BER (-2 dB) : 0.1112061, Valid BER: 0.3255157, Tgt BER: 0.3255157, Noiseless BER 0.0000000, Valid BLER : 0.8062744
[1400/150000] At -2 dB, Loss: 0.3166098, Train BER (-2 dB) : 0.1094360, Valid BER: 0.3226624, Tgt BER: 0.3226624, Noiseless BER 0.0000000, Valid BLER : 0.8023682
[1500/150000] At -2 dB, Loss: 0.3101195, Train BER (-2 dB) : 0.1074524, Valid BER: 0.3228455, Tgt BER: 0.3228455, Noiseless BER 0.0000000, Valid BLER : 0.7974854
[1600/150000] At -2 dB, Loss: 0.3023218, Train BER (-2 dB) : 0.1039276, Valid BER: 0.3166809, Tgt BER: 0.3166809, Noiseless BER 0.0000000, Valid BLER : 0.7889404
[1700/150000] At -2 dB, Loss: 0.2997621, Train BER (-2 dB) : 0.1033325, Valid BER: 0.3223419, Tgt BER: 0.3223419, Noiseless BER 0.0000000, Valid BLER : 0.7923584
[1800/150000] At -2 dB, Loss: 0.2907696, Train BER (-2 dB) : 0.1003571, Valid BER: 0.3207397, Tgt BER: 0.3207397, Noiseless BER 0.0000000, Valid BLER : 0.7882080
[1900/150000] At -2 dB, Loss: 0.2944518, Train BER (-2 dB) : 0.1014099, Valid BER: 0.3146820, Tgt BER: 0.3146820, Noiseless BER 0.0000000, Valid BLER : 0.7716064
[2000/150000] At -2 dB, Loss: 0.2855397, Train BER (-2 dB) : 0.0979004, Valid BER: 0.3172607, Tgt BER: 0.3172607, Noiseless BER 0.0000000, Valid BLER : 0.7696533
[2100/150000] At -2 dB, Loss: 0.2846062, Train BER (-2 dB) : 0.0975952, Valid BER: 0.3160553, Tgt BER: 0.3160553, Noiseless BER 0.0000000, Valid BLER : 0.7690430
[2200/150000] At -2 dB, Loss: 0.2862848, Train BER (-2 dB) : 0.0971680, Valid BER: 0.3141174, Tgt BER: 0.3141174, Noiseless BER 0.0000000, Valid BLER : 0.7683105
[2300/150000] At -2 dB, Loss: 0.2757346, Train BER (-2 dB) : 0.0931854, Valid BER: 0.3106995, Tgt BER: 0.3106995, Noiseless BER 0.0000000, Valid BLER : 0.7591553
[2400/150000] At -2 dB, Loss: 0.2766800, Train BER (-2 dB) : 0.0944519, Valid BER: 0.3169098, Tgt BER: 0.3169098, Noiseless BER 0.0000000, Valid BLER : 0.7697754
[2500/150000] At -2 dB, Loss: 0.2839509, Train BER (-2 dB) : 0.0991516, Valid BER: 0.3161469, Tgt BER: 0.3161469, Noiseless BER 0.0000000, Valid BLER : 0.7586670
[2600/150000] At -2 dB, Loss: 0.2685456, Train BER (-2 dB) : 0.0921326, Valid BER: 0.3133698, Tgt BER: 0.3133698, Noiseless BER 0.0000000, Valid BLER : 0.7581787
[2700/150000] At -2 dB, Loss: 0.2734348, Train BER (-2 dB) : 0.0928192, Valid BER: 0.3139801, Tgt BER: 0.3139801, Noiseless BER 0.0000000, Valid BLER : 0.7561035
[2800/150000] At -2 dB, Loss: 0.2770712, Train BER (-2 dB) : 0.0950928, Valid BER: 0.3146515, Tgt BER: 0.3146515, Noiseless BER 0.0000000, Valid BLER : 0.7513428
[2900/150000] At -2 dB, Loss: 0.2756655, Train BER (-2 dB) : 0.0932922, Valid BER: 0.3104858, Tgt BER: 0.3104858, Noiseless BER 0.0000000, Valid BLER : 0.7506104
[3000/150000] At -2 dB, Loss: 0.2854896, Train BER (-2 dB) : 0.0976562, Valid BER: 0.3170166, Tgt BER: 0.3170166, Noiseless BER 0.0000000, Valid BLER : 0.7589111
[3100/150000] At -2 dB, Loss: 0.2723962, Train BER (-2 dB) : 0.0933990, Valid BER: 0.3122253, Tgt BER: 0.3122253, Noiseless BER 0.0000000, Valid BLER : 0.7550049
