Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0452251434326172, 1.0399659872055054, 1.0398797988891602, 1.041797161102295, 1.0431386232376099, 1.045234203338623, 1.0457972288131714, -1.0508548021316528]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0499050617218018, -1.0552277565002441, -1.0559722185134888, -1.0544840097427368, -1.056308627128601, -1.0551170110702515, -1.0545119047164917, 1.043325662612915]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.036308765411377, 1.0414259433746338, -1.0469194650650024, 1.0420151948928833, -1.047216773033142, 1.0426335334777832, -1.0494756698608398, -1.0506155490875244]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0457851886749268, -1.0425291061401367, 1.0425221920013428, -1.045058012008667, 1.0456488132476807, -1.0471546649932861, 1.0450403690338135, 1.047266960144043]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0321600437164307, -1.0428017377853394, 1.0424110889434814, 1.0432003736495972, -1.0452266931533813, -1.045562982559204, 1.0464580059051514, -1.0494110584259033]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.044795274734497, 1.0394513607025146, -1.0438235998153687, -1.0433759689331055, 1.042885661125183, 1.0478514432907104, -1.0440857410430908, 1.045744776725769]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0581398010253906, -1.0415160655975342, -1.0426849126815796, 1.0465317964553833, 1.0510655641555786, -1.0429818630218506, -1.0432425737380981, -1.0461528301239014]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0330575704574585, 1.0420960187911987, 1.0449116230010986, -1.0425916910171509, -1.0446568727493286, 1.04586923122406, 1.0453978776931763, 1.0472643375396729]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0370285511016846, 1.0392367839813232, 1.039340615272522, 1.0428913831710815, -1.0473729372024536, 1.0448834896087646, 1.045546054840088, -1.0497288703918457]"
9,"[1, 0, 0, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-0.9392949342727661, 0.23095595836639404, 0.27321118116378784, -0.26812270283699036, -0.37199825048446655, -0.3117603361606598, -0.19662286341190338, 1.045271635055542]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0536390542984009, 1.0431950092315674, -1.041036605834961, 1.0448577404022217, 1.046355128288269, 1.0450315475463867, -1.0433852672576904, -1.0435658693313599]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.0330631732940674, -1.0381624698638916, 1.045479416847229, -1.0446189641952515, -1.0391172170639038, -1.0460755825042725, 1.0461621284484863, 1.047979712486267]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.0552375316619873, -1.0393999814987183, 1.0449408292770386, 1.0451561212539673, 1.0506699085235596, -1.0438534021377563, 1.047237515449524, -1.046321153640747]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.0323840379714966, 1.0395722389221191, -1.0423823595046997, -1.0432946681976318, -1.04124915599823, 1.0454565286636353, -1.043621301651001, 1.0462194681167603]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1.0403027534484863, -1.0394225120544434, -1.0377830266952515, 1.046443223953247, -1.0355024337768555, -1.0407564640045166, -1.0429770946502686, -1.0439224243164062]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.048511028289795, 1.042250633239746, 1.0458476543426514, -1.043252944946289, 1.0404390096664429, 1.0454084873199463, 1.0451645851135254, 1.0456538200378418]"
16,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[-1.0372538566589355, -1.0502444505691528, -1.053878903388977, -1.0495598316192627, 1.0448648929595947, 1.0441104173660278, 1.044146180152893, -1.051146388053894]"
17,"[1, 1, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[-0.9584458470344543, -0.2572338581085205, -0.34874340891838074, 0.11158964037895203, 0.08439704030752182, -0.3619266748428345, -0.4250035881996155, 1.0438244342803955]"
18,"[0, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1.0561939477920532, -1.043354868888855, 1.0417646169662476, -1.0410664081573486, -1.0401206016540527, 1.0423794984817505, -1.0449750423431396, -1.0473394393920898]"
19,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[-1.030583143234253, 1.0460660457611084, -1.0433964729309082, 1.045170545578003, 1.0496140718460083, -1.043152928352356, 1.04658842086792, 1.0490156412124634]"
20,"[0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[1.0561697483062744, 1.0370415449142456, -1.041454553604126, -1.0421499013900757, -1.0412203073501587, -1.0426311492919922, 1.043500304222107, -1.0445226430892944]"
21,"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]","[-1.0311979055404663, -1.0423089265823364, 1.040956974029541, 1.044509768486023, 1.0445106029510498, 1.0464664697647095, -1.043032169342041, 1.0463814735412598]"
22,"[0, 0, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[1.001829743385315, 1.0418857336044312, 1.0412241220474243, -1.0402730703353882, 1.0470449924468994, -1.0397064685821533, -1.041886329650879, -1.043751835823059]"
23,"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 0, 0]","[1.0502692461013794, -1.0510153770446777, -1.047659993171692, 1.0449734926223755, -1.0477319955825806, 1.0479345321655273, 1.0470582246780396, 1.0481071472167969]"
24,"[0, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 0, 0, 1, 1, 1]","[1.0477838516235352, -1.0480667352676392, -1.0521496534347534, -1.0481021404266357, -1.0460834503173828, 1.0466957092285156, 1.0487135648727417, -1.0502935647964478]"
25,"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0]","[-1.043481707572937, 1.0410304069519043, 1.043481707572937, 1.0462539196014404, 1.0491501092910767, -1.0456825494766235, -1.048747181892395, 1.047091007232666]"
26,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 1]","[-1.0334703922271729, -1.0433756113052368, 1.0436620712280273, -1.0429105758666992, 1.0498387813568115, 1.0441819429397583, -1.045998454093933, -1.0469605922698975]"
27,"[0, 0, 1, 0, 1, 1, 0, 0]","[1, 1, 1, 0, 0, 1, 0, 0]","[1.049856185913086, 1.044179916381836, -1.042816162109375, 1.0459650754928589, -1.0395207405090332, -1.043812870979309, 1.0463926792144775, 1.048643946647644]"
28,"[1, 0, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 0, 0, 0, 1, 1]","[-1.0351567268371582, 1.0402086973190308, -1.0410009622573853, -1.0433499813079834, 1.046952724456787, -1.0435982942581177, 1.0453746318817139, -1.0439814329147339]"
29,"[0, 1, 0, 0, 1, 0, 1, 0]","[1, 1, 1, 0, 0, 0, 1, 0]","[1.0479052066802979, -1.047212839126587, 1.0425143241882324, 1.0466059446334839, -1.043730616569519, 1.047132968902588, -1.0457708835601807, 1.04721200466156]"
30,"[0, 0, 0, 1, 1, 1, 1, 1]","[1, 1, 1, 0, 0, 0, 0, 1]","[1.0501552820205688, 1.0419491529464722, 1.0420246124267578, -1.0427587032318115, -1.0368213653564453, -1.0426361560821533, -1.0422433614730835, -1.04447340965271]"
31,"[1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0]","[-1.0537464618682861, -1.0518819093704224, -1.0500456094741821, 1.0391066074371338, 1.0386825799942017, 1.0420379638671875, 1.0418044328689575, 1.0422790050506592]"
32,"[1, 0, 1, 0, 0, 0, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 1]","[-1.0355066061019897, 1.0395959615707397, -1.04607355594635, 1.0424344539642334, 1.0418343544006348, 1.043096899986267, 1.0435714721679688, -1.0484644174575806]"
33,"[0, 1, 0, 1, 1, 1, 1, 0]","[1, 1, 0, 1, 1, 1, 1, 0]","[1.0487351417541504, -1.0449304580688477, 1.044875979423523, -1.0455259084701538, -1.0410945415496826, -1.0460010766983032, -1.0450166463851929, 1.0477219820022583]"
34,"[0, 0, 0, 0, 1, 0, 1, 1]","[1, 1, 0, 1, 1, 1, 0, 1]","[1.047418236732483, 1.0419327020645142, 1.0440958738327026, 1.0435261726379395, -1.0418261289596558, 1.043749451637268, -1.0435010194778442, -1.0465784072875977]"
35,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 1, 1, 0, 0]","[-1.0427436828613281, -1.0426077842712402, -1.0413763523101807, -1.0448845624923706, 1.0435277223587036, -1.0459202527999878, 1.0437901020050049, 1.0471689701080322]"
36,"[1, 1, 1, 0, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 0, 1, 1]","[-1.0179871320724487, -1.0446323156356812, -1.0427604913711548, 1.026872992515564, -1.0469566583633423, -1.0476776361465454, 1.0256222486495972, -1.0501608848571777]"
37,"[1, 0, 0, 1, 0, 0, 1, 0]","[1, 1, 0, 1, 1, 0, 1, 0]","[-1.0450000762939453, 1.0370265245437622, 1.044182300567627, -1.043169379234314, 1.0433069467544556, 1.0453087091445923, -1.044095516204834, 1.0467201471328735]"
38,"[1, 1, 0, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 1, 0, 0, 1]","[-1.0372055768966675, -1.0436618328094482, 1.0444300174713135, 1.0459357500076294, 1.0447946786880493, -1.045448660850525, -1.0471692085266113, -1.0488958358764648]"
39,"[0, 0, 1, 1, 1, 0, 0, 0]","[1, 1, 0, 1, 1, 0, 0, 0]","[1.0381481647491455, 1.039598822593689, -1.0441040992736816, -1.0463122129440308, -1.052998423576355, 1.0461770296096802, 1.0447278022766113, 1.0452224016189575]"
40,"[0, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 0, 1, 0, 1, 1, 1]","[1.039530873298645, 1.0367095470428467, -1.0461713075637817, 1.0427254438400269, -1.0507251024246216, 1.0433018207550049, 1.043930172920227, -1.0497342348098755]"
41,"[0, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[1.0254991054534912, -1.0439567565917969, 1.0445725917816162, -1.0448253154754639, 1.0402954816818237, -1.0453739166259766, -1.042995810508728, 1.0461808443069458]"
42,"[1, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 1, 0, 1]","[-1.0405305624008179, 1.0442713499069214, 1.0439835786819458, 1.0429630279541016, 1.042701005935669, 1.0434390306472778, -1.0453704595565796, -1.0458202362060547]"
43,"[0, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 0, 1, 0, 1, 0, 0]","[1.043753743171692, -1.046020746231079, -1.0442973375320435, -1.0431361198425293, -1.0439276695251465, -1.0469623804092407, 1.0445698499679565, 1.0466927289962769]"
44,"[1, 1, 1, 0, 0, 1, 0, 1]","[1, 1, 0, 1, 0, 0, 1, 1]","[-1.0396502017974854, -1.0426148176193237, -1.0428495407104492, 1.0433343648910522, 1.0420608520507812, -1.046071171760559, 1.0452637672424316, -1.0478498935699463]"
45,"[0, 0, 0, 1, 1, 0, 1, 0]","[1, 1, 0, 1, 0, 0, 1, 0]","[1.0377501249313354, 1.0388346910476685, 1.0445234775543213, -1.0438467264175415, -1.042258381843567, 1.0461220741271973, -1.0448130369186401, 1.0466126203536987]"
46,"[0, 1, 0, 0, 1, 1, 1, 1]","[1, 1, 0, 1, 0, 0, 0, 1]","[1.0467097759246826, -1.0467838048934937, 1.0474450588226318, 1.0444741249084473, -1.0430552959442139, -1.045983910560608, -1.0463961362838745, -1.046605110168457]"
47,"[0, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 0]","[1.0228370428085327, 1.0392310619354248, -1.0409587621688843, -1.0459108352661133, 1.0404677391052246, 1.0451228618621826, 1.0446432828903198, 1.0450986623764038]"
48,"[0, 1, 0, 1, 0, 0, 0, 1]","[1, 1, 0, 0, 1, 1, 1, 1]","[1.0399550199508667, -1.050598382949829, 1.0416826009750366, -1.045858383178711, 1.0409395694732666, 1.0434101819992065, 1.0436248779296875, -1.0498275756835938]"
