Info positions : [0 1 2 3 4 5 6 7]
Target Info positions : [0 1 2 3 4 5 6 7]
Frozen positions : []
Code : polar 
Rate Profile : polar
Validation SNR : 5.5
Number of heads : 1
Number of layers: 6
Positional encoding : static
Layers : compelete
Print frequency: 20
Num of steps: 3000
Training Model for 8,8 anew
Number of parameters : 75853
Did not find standard validation data
Need to save for: 5000
[0/3000] At 5 dB, Loss: 1.1313910, Train BER (5 dB) : 0.4577484, Valid BER: 0.4980011, Tgt BER: 0.4980011, Noiseless BER 0.6250000, Valid BLER : 0.9954834
Time for one step is 0.0021 minutes
[20/3000] At 5 dB, Loss: 0.7750323, Train BER (5 dB) : 0.3024750, Valid BER: 0.5009613, Tgt BER: 0.5009613, Noiseless BER 0.0000000, Valid BLER : 0.9963379
[40/3000] At 5 dB, Loss: 0.6922719, Train BER (5 dB) : 0.2761383, Valid BER: 0.4966278, Tgt BER: 0.4966278, Noiseless BER 0.1250000, Valid BLER : 0.9960938
[60/3000] At 5 dB, Loss: 0.6717676, Train BER (5 dB) : 0.2687683, Valid BER: 0.5016479, Tgt BER: 0.5016479, Noiseless BER 0.2500000, Valid BLER : 0.9973145
[80/3000] At 5 dB, Loss: 0.6605914, Train BER (5 dB) : 0.2701569, Valid BER: 0.4992828, Tgt BER: 0.4992828, Noiseless BER 0.3750000, Valid BLER : 0.9956055
[100/3000] At 5 dB, Loss: 0.6412828, Train BER (5 dB) : 0.2664795, Valid BER: 0.4985657, Tgt BER: 0.4985657, Noiseless BER 0.3750000, Valid BLER : 0.9968262
[120/3000] At 5 dB, Loss: 0.6152911, Train BER (5 dB) : 0.2515259, Valid BER: 0.5008850, Tgt BER: 0.5008850, Noiseless BER 0.1250000, Valid BLER : 0.9962158
[140/3000] At 5 dB, Loss: 0.5780047, Train BER (5 dB) : 0.2253113, Valid BER: 0.4983978, Tgt BER: 0.4983978, Noiseless BER 0.2500000, Valid BLER : 0.9970703
[160/3000] At 5 dB, Loss: 0.5364492, Train BER (5 dB) : 0.2046051, Valid BER: 0.4968719, Tgt BER: 0.4968719, Noiseless BER 0.0000000, Valid BLER : 0.9965820
[180/3000] At 5 dB, Loss: 0.5047613, Train BER (5 dB) : 0.1869049, Valid BER: 0.4990387, Tgt BER: 0.4990387, Noiseless BER 0.0000000, Valid BLER : 0.9970703
[200/3000] At 5 dB, Loss: 0.4912615, Train BER (5 dB) : 0.1809998, Valid BER: 0.5027771, Tgt BER: 0.5027771, Noiseless BER 0.0000000, Valid BLER : 0.9954834
[220/3000] At 5 dB, Loss: 0.4693759, Train BER (5 dB) : 0.1733246, Valid BER: 0.4943848, Tgt BER: 0.4943848, Noiseless BER 0.0000000, Valid BLER : 0.9960938
[240/3000] At 5 dB, Loss: 0.4600019, Train BER (5 dB) : 0.1678772, Valid BER: 0.4996338, Tgt BER: 0.4996338, Noiseless BER 0.1250000, Valid BLER : 0.9957275
[260/3000] At 5 dB, Loss: 0.4586822, Train BER (5 dB) : 0.1651611, Valid BER: 0.5014648, Tgt BER: 0.5014648, Noiseless BER 0.0000000, Valid BLER : 0.9954834
[280/3000] At 5 dB, Loss: 0.4332113, Train BER (5 dB) : 0.1554565, Valid BER: 0.5010834, Tgt BER: 0.5010834, Noiseless BER 0.0000000, Valid BLER : 0.9964600
[300/3000] At 5 dB, Loss: 0.4393381, Train BER (5 dB) : 0.1558228, Valid BER: 0.4982910, Tgt BER: 0.4982910, Noiseless BER 0.0000000, Valid BLER : 0.9969482
[320/3000] At 5 dB, Loss: 0.4235285, Train BER (5 dB) : 0.1484070, Valid BER: 0.4966888, Tgt BER: 0.4966888, Noiseless BER 0.1250000, Valid BLER : 0.9958496
[340/3000] At 5 dB, Loss: 0.4225971, Train BER (5 dB) : 0.1479950, Valid BER: 0.5002136, Tgt BER: 0.5002136, Noiseless BER 0.1250000, Valid BLER : 0.9963379
[360/3000] At 5 dB, Loss: 0.4226849, Train BER (5 dB) : 0.1478271, Valid BER: 0.5005188, Tgt BER: 0.5005188, Noiseless BER 0.1250000, Valid BLER : 0.9954834
[380/3000] At 5 dB, Loss: 0.4140045, Train BER (5 dB) : 0.1423950, Valid BER: 0.4994354, Tgt BER: 0.4994354, Noiseless BER 0.0000000, Valid BLER : 0.9958496
[400/3000] At 5 dB, Loss: 0.4069616, Train BER (5 dB) : 0.1418152, Valid BER: 0.4991455, Tgt BER: 0.4991455, Noiseless BER 0.1250000, Valid BLER : 0.9960938
[420/3000] At 5 dB, Loss: 0.4033515, Train BER (5 dB) : 0.1405945, Valid BER: 0.4963379, Tgt BER: 0.4963379, Noiseless BER 0.0000000, Valid BLER : 0.9965820
