Info positions : [0 1 2 3 4 5 6 7]
Target Info positions : [0 1 2 3 4 5 6 7]
Frozen positions : []
Code : polar 
Type of training : c2n
Rate Profile : polar
Validation SNR : 2.0
Training Model for 8,8 anew
Number of parameters : 75853
Did not find standard validation data
Need to save for: 5000
[0/10000] At 2 dB, Loss: 1.3436335, Train BER (2 dB) : 0.5478973, Valid BER: 0.5150909, Tgt BER: 0.5150909, Noiseless BER 0.5234985, Valid BLER : 0.9971924
Time for one step is 0.0047 minutes
[300/10000] At 2 dB, Loss: 0.6483558, Train BER (2 dB) : 0.2601318, Valid BER: 0.2570801, Tgt BER: 0.2570801, Noiseless BER 0.0608826, Valid BLER : 0.7789307
[600/10000] At 2 dB, Loss: 0.6516229, Train BER (2 dB) : 0.2618103, Valid BER: 0.2577057, Tgt BER: 0.2577057, Noiseless BER 0.0612335, Valid BLER : 0.7770996
[900/10000] At 2 dB, Loss: 0.6445587, Train BER (2 dB) : 0.2610626, Valid BER: 0.2592163, Tgt BER: 0.2592163, Noiseless BER 0.0620575, Valid BLER : 0.7707520
[1200/10000] At 2 dB, Loss: 0.6381892, Train BER (2 dB) : 0.2522278, Valid BER: 0.2573242, Tgt BER: 0.2573242, Noiseless BER 0.0608063, Valid BLER : 0.7760010
[1500/10000] At 2 dB, Loss: 0.6469438, Train BER (2 dB) : 0.2628326, Valid BER: 0.2612610, Tgt BER: 0.2612610, Noiseless BER 0.0600891, Valid BLER : 0.7805176
[1800/10000] At 2 dB, Loss: 0.6382653, Train BER (2 dB) : 0.2579041, Valid BER: 0.2590485, Tgt BER: 0.2590485, Noiseless BER 0.0627136, Valid BLER : 0.7701416
[2100/10000] At 2 dB, Loss: 0.6556856, Train BER (2 dB) : 0.2645264, Valid BER: 0.2598572, Tgt BER: 0.2598572, Noiseless BER 0.0620575, Valid BLER : 0.7679443
[2400/10000] At 2 dB, Loss: 0.6404449, Train BER (2 dB) : 0.2572937, Valid BER: 0.2571259, Tgt BER: 0.2571259, Noiseless BER 0.0614929, Valid BLER : 0.7677002
[2700/10000] At 2 dB, Loss: 0.6390039, Train BER (2 dB) : 0.2551727, Valid BER: 0.2649689, Tgt BER: 0.2649689, Noiseless BER 0.0595856, Valid BLER : 0.7700195
[3000/10000] At 2 dB, Loss: 0.6401772, Train BER (2 dB) : 0.2582703, Valid BER: 0.2576447, Tgt BER: 0.2576447, Noiseless BER 0.0607605, Valid BLER : 0.7668457
[3300/10000] At 2 dB, Loss: 0.6363667, Train BER (2 dB) : 0.2562561, Valid BER: 0.2589417, Tgt BER: 0.2589417, Noiseless BER 0.0587769, Valid BLER : 0.7677002
[3600/10000] At 2 dB, Loss: 0.6432507, Train BER (2 dB) : 0.2610779, Valid BER: 0.2569427, Tgt BER: 0.2569427, Noiseless BER 0.0580902, Valid BLER : 0.7659912
[3900/10000] At 2 dB, Loss: 0.6484048, Train BER (2 dB) : 0.2603760, Valid BER: 0.2591095, Tgt BER: 0.2591095, Noiseless BER 0.0610809, Valid BLER : 0.7689209
[4200/10000] At 2 dB, Loss: 0.6428522, Train BER (2 dB) : 0.2604828, Valid BER: 0.2562103, Tgt BER: 0.2562103, Noiseless BER 0.0559540, Valid BLER : 0.7615967
[4500/10000] At 2 dB, Loss: 0.6484802, Train BER (2 dB) : 0.2616882, Valid BER: 0.2538910, Tgt BER: 0.2538910, Noiseless BER 0.0509338, Valid BLER : 0.7442627
[4800/10000] At 2 dB, Loss: 0.6352075, Train BER (2 dB) : 0.2540436, Valid BER: 0.2567902, Tgt BER: 0.2567902, Noiseless BER 0.0334473, Valid BLER : 0.7048340
[5100/10000] At 2 dB, Loss: 0.6291602, Train BER (2 dB) : 0.2490997, Valid BER: 0.2503662, Tgt BER: 0.2503662, Noiseless BER 0.0000000, Valid BLER : 0.6341553
[5400/10000] At 2 dB, Loss: 0.6358335, Train BER (2 dB) : 0.2489929, Valid BER: 0.2521210, Tgt BER: 0.2521210, Noiseless BER 0.0000000, Valid BLER : 0.6163330
[5700/10000] At 2 dB, Loss: 0.6309664, Train BER (2 dB) : 0.2480621, Valid BER: 0.2518158, Tgt BER: 0.2518158, Noiseless BER 0.0000000, Valid BLER : 0.6097412
[6000/10000] At 2 dB, Loss: 0.6340719, Train BER (2 dB) : 0.2504120, Valid BER: 0.2493896, Tgt BER: 0.2493896, Noiseless BER 0.0000000, Valid BLER : 0.6085205
[6300/10000] At 2 dB, Loss: 0.6417398, Train BER (2 dB) : 0.2514496, Valid BER: 0.2470398, Tgt BER: 0.2470398, Noiseless BER 0.0000000, Valid BLER : 0.6055908
